COMPENSATION_ID,PERIOD_START,PERIOD_END,LOBBYIST_ID,LOBBYIST_FIRST_NAME,LOBBYIST_MIDDLE_INITIAL,LOBBYIST_LAST_NAME,COMPENSATION_TO_OTHERS_EXPENSE,OFFICE_EXPENSE,PERSONAL_SUSTENANCE_EXPENSE,PUBLIC_EDUCATION_EXPENSE,OTHER_EXPENSES,TOTAL_EXPENSES,CLIENT_ID,CLIENT_NAME,CREATED_DATE
2422138355,10/01/2020,12/31/2020,4082,THOMAS,E,LIVINGSTON,15000.00,0.00,0.00,0.00,0.00,15000.00,129262074,CSX CORPORATION,01/17/2021
1089899976,10/01/2020,12/31/2020,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,139295286,"PAN-OCEANIC ENGINEERING CO., INC.",01/19/2021
651945850,01/01/2020,03/31/2020,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,350.00,1965511253,CKK INVESTMENT INC.,01/19/2021
1089899976,10/01/2020,12/31/2020,3782,MARA,S,GEORGES,0.00,0.00,0.00,0.00,0.00,75.00,311065641,VENTURE ONE,01/19/2021
1089899976,10/01/2020,12/31/2020,14641,AMY,,DEGNAN,0.00,0.00,0.00,0.00,0.00,75.00,506103063,SALONLB,01/19/2021
3871216144,07/01/2020,09/30/2020,14641,AMY,,DEGNAN,0.00,0.00,0.00,0.00,0.00,85.56,1423927746,THE PEOPLES GAS LIGHT AND COKE COMPANY,01/19/2021
1924499314,01/01/2020,03/31/2020,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,195.25,238821020,ZHOU B LLC,01/19/2021
1089899976,10/01/2020,12/31/2020,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,75.00,1515354803,D BROTHERS INVESTMENTS LLC,01/19/2021
4107158739,10/01/2020,12/31/2020,24875,FRANK,,SPEEK,7500.00,0.00,0.00,0.00,0.00,7500.00,436138109,SKINNY LABS INC. DBA SPIN,01/19/2021
200959754,01/01/2020,03/31/2020,3782,MARA,S,GEORGES,0.00,0.00,0.00,0.00,0.00,75.00,531670715,"COCO VENTURES, LLC",01/19/2021
2272820877,04/01/2020,06/30/2020,14641,AMY,,DEGNAN,0.00,0.00,0.00,0.00,0.00,14.50,4100731081,ACADEMY FOR GLOBAL CITIZENSHIP,01/19/2021
200959754,01/01/2020,03/31/2020,3782,MARA,S,GEORGES,0.00,0.00,0.00,0.00,0.00,75.00,3297124168,PIFFINGTON LLC,01/19/2021
1089899976,10/01/2020,12/31/2020,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,75.00,3025261792,"LEXINGTON HOMES, LLC",01/19/2021
4055577108,07/01/2020,09/30/2020,14641,AMY,,DEGNAN,0.00,0.00,0.00,0.00,0.00,150.00,3032629703,EASTLAKE MANAGEMENT GROUP,01/19/2021
182794260,01/01/2020,03/31/2020,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,150.00,2756239332,MART ANTHONY'S,01/19/2021
3478102998,07/01/2020,09/30/2020,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,11.50,1541496536,"MICHAEL TADIN, JR.",01/19/2021
554837055,04/01/2020,06/30/2020,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,150.00,2821932813,"LINCOLN PROVISION, INC.",01/19/2021
812115416,04/01/2020,06/30/2020,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,213.54,3675058662,"GARFIELD'S BEVERAGE C1, LLC",01/19/2021
1507986665,07/01/2020,09/30/2020,14641,AMY,,DEGNAN,0.00,0.00,0.00,0.00,0.00,223.70,4100731081,ACADEMY FOR GLOBAL CITIZENSHIP,01/19/2021
1089899976,10/01/2020,12/31/2020,14641,AMY,,DEGNAN,0.00,0.00,0.00,0.00,0.00,75.00,1744521974,BRIDGEPORT SHELL,01/19/2021
1089899976,10/01/2020,12/31/2020,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,75.00,924671475,ISTAR FINANCIAL,01/19/2021
1089899976,10/01/2020,12/31/2020,14641,AMY,,DEGNAN,0.00,0.00,0.00,0.00,0.00,75.00,2698848797,ECO BRITE CAR WASH,01/19/2021
1089899976,10/01/2020,12/31/2020,14641,AMY,,DEGNAN,0.00,0.00,0.00,0.00,0.00,75.00,1212739717,CHUNG LEUNG AU,01/19/2021
2006871721,01/01/2020,03/31/2020,3782,MARA,S,GEORGES,0.00,0.00,0.00,0.00,0.00,175.00,154529912,DAVIDSON KEMPNER,01/19/2021
182794260,01/01/2020,03/31/2020,14641,AMY,,DEGNAN,0.00,0.00,0.00,0.00,0.00,150.00,4100731081,ACADEMY FOR GLOBAL CITIZENSHIP,01/19/2021
2981877244,01/01/2020,03/31/2020,14641,AMY,,DEGNAN,0.00,0.00,0.00,0.00,0.00,109.00,2102758611,"SARATOGA DEWITT, LLC",01/19/2021
182794260,01/01/2020,03/31/2020,3782,MARA,S,GEORGES,0.00,0.00,0.00,0.00,0.00,150.00,2756239332,MART ANTHONY'S,01/19/2021
1156292386,07/01/2020,09/30/2020,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,56.22,1965511253,CKK INVESTMENT INC.,01/19/2021
1651259268,04/01/2020,06/30/2020,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,75.00,1414890232,DAN MARK,01/19/2021
1870230828,07/01/2020,09/30/2020,3782,MARA,S,GEORGES,0.00,0.00,0.00,0.00,0.00,75.00,2584944755,NATIONAL INSURANCE CRIME BUREAU,01/19/2021
245064478,07/01/2020,09/30/2020,24728,KENNETH,,SAWYER,0.00,7500.00,0.00,0.00,7500.00,7500.00,3240048196,TOBACCO FREE KIDS,11/08/2020
1814086838,07/01/2020,09/30/2020,24728,KENNETH,,SAWYER,0.00,13000.00,0.00,0.00,13000.00,13000.00,211676529,CRESCO LABS LLC,11/08/2020
3083019960,01/01/2020,03/31/2020,23903,CARLOS,,PINEIRO,0.00,0.00,30.00,0.00,0.00,30.00,1741688519,"RBC CAPITAL MARKETS, LLC",11/18/2020
2360973153,10/01/2020,12/31/2020,4055,ANN,T,MORONEY,0.00,0.00,0.00,0.00,0.00,2925.80,1044516389,CHICAGO PUBLIC SCHOOLS,01/20/2021
1818802561,10/01/2020,12/31/2020,4003,SCOTT,E,SAEF,0.00,0.00,0.00,0.00,0.00,36.77,2211865845,COMMUTER RAIL DIVISION OF THE RTA (METRA),01/20/2021
2702917042,10/01/2020,12/31/2020,3996,DONOVAN,W,PEPPER,15000.00,0.00,0.00,0.00,0.00,15250.00,4244390342,WALGREEN CO.,01/20/2021
3535792169,10/01/2020,12/31/2020,22901,GHIAN,,FOREMAN,0.00,0.00,0.00,0.00,0.00,2500.00,1091448180,MIDWAY TECHNOLOGY CENTRE OWNER LLC,01/26/2021
743748688,10/01/2020,12/31/2020,24904,AMBER,,SMOCK,0.00,380.28,0.00,0.00,380.28,380.28,2599186997,ACCESS LIVING OF METROPOLITAN CHICAGO,01/26/2021
1847770338,10/01/2020,12/31/2020,23981,ALEXANDRA,,SIMS,6000.00,0.00,0.00,0.00,0.00,6000.00,2014063902,VERIZON WIRELESS,01/26/2021
3231568312,04/01/2020,06/30/2020,24503,TANYA,,ROSIN,0.00,0.00,0.00,0.00,0.00,50.00,47848937,VERIZON,07/17/2020
1603394519,07/01/2020,09/30/2020,24503,TANYA,,ROSIN,0.00,0.00,0.00,0.00,0.00,50.00,47848937,VERIZON,10/09/2020
200959754,01/01/2020,03/31/2020,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,2821932813,"LINCOLN PROVISION, INC.",10/30/2020
3596860882,04/01/2020,06/30/2020,15501,DAVID,M.,GROSS,0.00,0.00,0.00,0.00,0.00,250.00,1188783448,ILLINOIS HOSPITAL ASSOCIATION,07/10/2020
3750547749,01/01/2020,03/31/2020,24221,KELLY,,EICKENHORST,0.00,0.00,701.00,0.00,0.00,701.00,2992711528,AMERICAN AIRLINES,06/01/2020
3227512212,07/01/2020,09/30/2020,15261,FRANK,C,BOSCO,0.00,0.00,0.00,0.00,0.00,32.18,1570551163,THERMO FISHER SCIENTIFIC,09/30/2020
3427977415,01/01/2020,03/31/2020,15601,WILLIAM,,GLUNZ,0.00,0.00,54.00,0.00,0.00,54.00,2992711528,AMERICAN AIRLINES,04/13/2020
200959754,01/01/2020,03/31/2020,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,1133176223,"KLF ENTERPRISES, INC.",10/30/2020
24835914,07/01/2020,09/30/2020,16801,YUHONG,A,ZHANG,0.00,0.00,99.80,0.00,0.00,99.80,2992711528,AMERICAN AIRLINES,10/17/2020
200959754,01/01/2020,03/31/2020,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,1537371615,CROWN CASTLE NG CENTRAL LLC,10/30/2020
2138403920,01/01/2020,03/31/2020,4082,THOMAS,E,LIVINGSTON,12000.00,300.00,0.00,0.00,300.00,12300.00,129262074,CSX CORPORATION,04/17/2020
1651259268,04/01/2020,06/30/2020,10921,WILLIAM,,O'DONAGHUE,0.00,0.00,0.00,0.00,0.00,75.00,3689691213,NO BORDERS BREWING COMPANY,07/29/2020
4194824518,01/01/2020,03/31/2020,4333,CLINT,V,BROWN,0.00,90.00,0.00,0.00,90.00,90.00,2763434576,LOCAL 881UNITED FOOD AND COMMERCIAL WORKERS,03/31/2020
200959754,01/01/2020,03/31/2020,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,1502468412,MILLENNIUM CONTRACTING CO.,10/30/2020
241736770,01/01/2020,03/31/2020,16662,MICHAEL,J,MINERVA,0.00,0.00,206.06,0.00,0.00,206.06,2992711528,AMERICAN AIRLINES,04/17/2020
200959754,01/01/2020,03/31/2020,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,3270232475,CPMH CONSTRUCTION,10/30/2020
732953669,01/01/2020,03/31/2020,24104,PAUL,,BREDAEL,0.00,0.00,37.85,0.00,0.00,37.85,1944708523,PEOPLES GAS LIGHT AND COKE CO.,04/16/2020
4087152247,01/01/2020,03/31/2020,17801,ESMAEL,,ANSARI,0.00,0.00,1900.00,0.00,0.00,1900.00,3797491347,"AXON ENTERPRISE, INC.",04/15/2020
4058494266,07/01/2020,09/30/2020,20343,MICHAEL,,RUEMMLER,9750.00,0.00,0.00,0.00,0.00,9750.00,2666566692,"DOORDASH, INC.",10/19/2020
4115105081,07/01/2020,09/30/2020,4082,THOMAS,E,LIVINGSTON,0.00,0.00,50.00,0.00,0.00,50.00,129262074,CSX CORPORATION,10/19/2020
1878133419,01/01/2020,03/31/2020,23826,MATTHEW,D,NUGEN,0.00,0.00,16.35,0.00,0.00,16.35,1944708523,PEOPLES GAS LIGHT AND COKE CO.,04/16/2020
1917516906,01/01/2020,03/31/2020,5127,PAT,,DOERR,60.00,200.00,95.00,60.00,200.00,470.00,841403895,HOSPITALITY BUSINESS ASSOC OF CHICAGO,05/19/2020
2196364259,04/01/2020,06/30/2020,24765,MARY EILEEN,,WELLS,0.00,0.00,0.00,0.00,0.00,235.74,3422115480,SAINT ANTHONY HOSPITAL,07/13/2020
373426337,01/01/2020,03/31/2020,3825,MIGUEL,A,SANTIAGO,0.00,0.00,0.00,0.00,0.00,1000.00,2767247958,ALTRIA CLIENT SERVICES LLC,04/26/2020
3647824994,01/01/2020,03/31/2020,24747,JUAN,,SALAZAR,0.00,0.00,388.33,0.00,0.00,388.33,3169217258,FACEBOOK INC.,04/19/2020
508586837,07/01/2020,09/30/2020,10821,JAMES,R,WATSON,0.00,0.00,0.00,0.00,0.00,1000.00,3617168447,ILLINOIS PETROLEUM COUNCIL,10/06/2020
3236156379,01/01/2020,03/31/2020,13621,ARTHUR,,WILHELMI,0.00,0.00,0.00,0.00,0.00,250.00,1188783448,ILLINOIS HOSPITAL ASSOCIATION,04/20/2020
3236156379,01/01/2020,03/31/2020,15501,DAVID,M.,GROSS,0.00,0.00,0.00,0.00,0.00,250.00,1188783448,ILLINOIS HOSPITAL ASSOCIATION,04/20/2020
3757601076,07/01/2020,09/30/2020,5127,PAT,,DOERR,100.00,200.00,75.00,200.00,200.00,725.00,841403895,HOSPITALITY BUSINESS ASSOC OF CHICAGO,10/19/2020
3685973613,04/01/2020,06/30/2020,5127,PAT,,DOERR,60.00,200.00,90.00,0.00,200.00,390.00,841403895,HOSPITALITY BUSINESS ASSOC OF CHICAGO,07/16/2020
3236156379,01/01/2020,03/31/2020,24803,AMY,,BARRY,0.00,0.00,0.00,0.00,0.00,250.00,1188783448,ILLINOIS HOSPITAL ASSOCIATION,07/10/2020
1870230828,07/01/2020,09/30/2020,10921,WILLIAM,,O'DONAGHUE,0.00,0.00,0.00,0.00,0.00,75.00,2654113746,DOM'S MARKET AND KITCHEN,10/20/2020
200959754,01/01/2020,03/31/2020,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,128615183,NPL CONSTRUCTION CO.,10/30/2020
1651259268,04/01/2020,06/30/2020,10921,WILLIAM,,O'DONAGHUE,0.00,0.00,0.00,0.00,0.00,75.00,2654113746,DOM'S MARKET AND KITCHEN,07/29/2020
1616781441,01/01/2020,03/31/2020,16801,YUHONG,A,ZHANG,0.00,0.00,703.00,0.00,0.00,703.00,2992711528,AMERICAN AIRLINES,05/05/2020
1651259268,04/01/2020,06/30/2020,10921,WILLIAM,,O'DONAGHUE,0.00,0.00,0.00,0.00,0.00,75.00,1682108721,AG BELLS 2 LLC,07/29/2020
200959754,01/01/2020,03/31/2020,24727,STORM,,SAPONARO,0.00,0.00,0.00,0.00,0.00,75.00,2289971454,LAKEVIEW TAP ROOM,04/22/2020
2690738411,01/01/2020,03/31/2020,3752,MITCHELL,A,CARREL,0.00,0.00,15.00,0.00,0.00,15.00,534590604,MERIDIAN REALTY ADVISORS,08/25/2020
3832449704,04/01/2020,06/30/2020,4333,CLINT,V,BROWN,0.00,108.00,0.00,0.00,108.00,108.00,2763434576,LOCAL 881UNITED FOOD AND COMMERCIAL WORKERS,07/06/2020
200959754,01/01/2020,03/31/2020,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,1986411410,"BRACKENBOX, INC.",10/30/2020
314380350,01/01/2020,03/31/2020,3996,DONOVAN,W,PEPPER,15000.00,0.00,250.00,0.00,0.00,15450.00,4244390342,WALGREEN CO.,06/01/2020
200959754,01/01/2020,03/31/2020,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,884251806,"AMIGOS MEAT & POULTRY, LLC",10/30/2020
288367136,01/01/2020,03/31/2020,24503,TANYA,,ROSIN,0.00,0.00,20.00,0.00,0.00,20.00,47848937,VERIZON,04/17/2020
4018347442,07/01/2020,09/30/2020,15501,DAVID,M.,GROSS,0.00,0.00,0.00,0.00,0.00,250.00,1188783448,ILLINOIS HOSPITAL ASSOCIATION,10/19/2020
1302636264,07/01/2020,09/30/2020,4055,ANN,T,MORONEY,0.00,0.00,0.00,0.00,0.00,2293.64,1044516389,CHICAGO PUBLIC SCHOOLS,10/14/2020
200959754,01/01/2020,03/31/2020,10921,WILLIAM,,O'DONAGHUE,0.00,0.00,0.00,0.00,0.00,75.00,3023671014,"SPARE TIME, INC.",07/29/2020
3329175974,04/01/2020,06/30/2020,4195,TIMOTHY,K.,HINCHMAN,0.00,150.00,0.00,0.00,150.00,150.00,1222172857,GOBRANDS INC.,06/29/2020
2766060343,04/01/2020,06/30/2020,13781,ZACH,A,KOUTSKY,0.00,0.00,0.00,250.00,0.00,250.00,391392974,LOCAL 881 UNITED FOOD AND COMMERCIAL WORKERS,06/30/2020
2521520670,04/01/2020,06/30/2020,3851,TIMOTHY,A,TAYLOR,0.00,0.00,0.00,50.00,0.00,50.00,3445752701,ELECTRICAL CONTRACTORS' ASSOCIATION OF CITY OF CHICAGO (ECA),06/29/2020
1317722163,01/01/2020,03/31/2020,4302,WILLIAM,,MACK,0.00,0.00,27.21,0.00,0.00,27.21,348264974,MORGAN STANLEY  & CO. LLC,04/20/2020
552370685,01/01/2020,03/31/2020,15261,FRANK,C,BOSCO,0.00,0.00,806.68,0.00,0.00,806.68,1570551163,THERMO FISHER SCIENTIFIC,05/04/2020
200959754,01/01/2020,03/31/2020,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,4100731081,ACADEMY FOR GLOBAL CITIZENSHIP,10/30/2020
200959754,01/01/2020,03/31/2020,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,4014846571,LASALLE STREET PARTNERS,10/30/2020
4156349732,01/01/2020,03/31/2020,24734,ASHLEY,,JENKINS,0.00,0.00,0.00,0.00,0.00,100.00,1188783448,ILLINOIS HOSPITAL ASSOCIATION,01/31/2020
3671423575,01/01/2020,03/31/2020,24780,MATTHEW,,SWENTKOFSKE,0.00,0.00,152.44,0.00,0.00,152.44,4109920514,MOLSON COORS BEVERAGE COMPANY USA LLC,05/05/2020
200959754,01/01/2020,03/31/2020,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,1685508348,ZEN LEAF,10/30/2020
3671224778,01/01/2020,03/31/2020,9082,JOSEPH,E,PILEWSKI,0.00,0.00,55.63,0.00,0.00,182.87,2806544094,LAKESHORE BEVERAGE,09/28/2020
200959754,01/01/2020,03/31/2020,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,913307278,"UTILITY TRANSPORT SERVICES, INC.",10/30/2020
2091886419,01/01/2020,03/31/2020,24699,MARK,S,JAMIL,0.00,0.00,30.53,0.00,0.00,118.78,4279662003,"CARMAX AUTO SUPERSTORES, INC.",05/29/2020
2656785422,01/01/2020,03/31/2020,13781,ZACH,A,KOUTSKY,0.00,0.00,150.00,175.00,0.00,425.00,391392974,LOCAL 881 UNITED FOOD AND COMMERCIAL WORKERS,05/18/2020
1203225267,01/01/2020,03/31/2020,11941,JAMES,,SAAKVITNE,0.00,0.00,69.88,0.00,0.00,69.88,1309831684,"BARCLAYS CAPITAL, INC.",04/10/2020
1651259268,04/01/2020,06/30/2020,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,1675041101,NORTHERN TRUST CORPORATION,10/30/2020
3720058400,01/01/2020,03/31/2020,22901,GHIAN,,FOREMAN,20000.00,0.00,3000.00,0.00,0.00,35000.00,1091448180,MIDWAY TECHNOLOGY CENTRE OWNER LLC,03/30/2020
3959052406,04/01/2020,06/30/2020,4082,THOMAS,E,LIVINGSTON,15000.00,0.00,0.00,0.00,0.00,15000.00,129262074,CSX CORPORATION,07/13/2020
744865898,07/01/2020,09/30/2020,23883,ASHLIE,,KUEHN,24000.00,0.00,0.00,0.00,0.00,24500.00,2536723508,"JUUL LABS, INC.",10/12/2020
200959754,01/01/2020,03/31/2020,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,595210914,GENTNER DESIGN,10/30/2020
200959754,01/01/2020,03/31/2020,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,875209509,"MIDWAY MOVING & STORAGE, INC.",10/30/2020
288367136,01/01/2020,03/31/2020,3752,MITCHELL,A,CARREL,0.00,0.00,20.00,0.00,0.00,20.00,1666535431,"OPTIMA CENTER CHICAGO II, LLC",08/25/2020
200959754,01/01/2020,03/31/2020,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,1944708523,PEOPLES GAS LIGHT AND COKE CO.,10/30/2020
1905824335,01/01/2020,03/31/2020,10821,JAMES,R,WATSON,0.00,0.00,0.00,0.00,0.00,750.00,3617168447,ILLINOIS PETROLEUM COUNCIL,03/31/2020
200959754,01/01/2020,03/31/2020,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,1585806248,THE ASTOR COMPANY,10/30/2020
3120048544,07/01/2020,09/30/2020,3851,TIMOTHY,A,TAYLOR,0.00,0.00,0.00,50.00,0.00,50.00,3445752701,ELECTRICAL CONTRACTORS' ASSOCIATION OF CITY OF CHICAGO (ECA),09/30/2020
200959754,01/01/2020,03/31/2020,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,4088034549,"WEC ENERGY,LLC",10/30/2020
3997483889,04/01/2020,06/30/2020,4055,ANN,T,MORONEY,0.00,0.00,0.00,0.00,0.00,5443.28,1044516389,CHICAGO PUBLIC SCHOOLS,07/16/2020
2196364259,04/01/2020,06/30/2020,3960,MICHAEL,L,SHAKMAN,0.00,0.00,0.00,0.00,0.00,235.74,3422115480,SAINT ANTHONY HOSPITAL,07/13/2020
200959754,01/01/2020,03/31/2020,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,1033976254,AT&T AND ITS AFFILIATES,10/30/2020
200959754,01/01/2020,03/31/2020,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,569994796,"M&J ASPHALT PAVING COMPANY, INC.",10/30/2020
1870230828,07/01/2020,09/30/2020,16002,RICHARD,,VELAZQUEZ,0.00,0.00,0.00,0.00,0.00,75.00,2616244162,"LEXINGTON HOMES, LLC",10/30/2020
4065088416,01/01/2020,03/31/2020,22203,JIM,,LAZARSKI,0.00,0.00,297.00,0.00,0.00,297.00,413645007,CONDUENT INCORPORATED,04/17/2020
84019064,04/01/2020,06/30/2020,10821,JAMES,R,WATSON,0.00,0.00,1000.00,250.00,0.00,8750.00,3617168447,ILLINOIS PETROLEUM COUNCIL,06/30/2020
1870230828,07/01/2020,09/30/2020,16002,RICHARD,,VELAZQUEZ,0.00,0.00,0.00,0.00,0.00,75.00,1144735878,ROSE LIQUORS,10/30/2020
4018347442,07/01/2020,09/30/2020,13621,ARTHUR,,WILHELMI,0.00,0.00,0.00,0.00,0.00,250.00,1188783448,ILLINOIS HOSPITAL ASSOCIATION,10/19/2020
3027450902,01/01/2020,03/31/2020,3851,TIMOTHY,A,TAYLOR,0.00,0.00,0.00,50.00,0.00,50.00,3445752701,ELECTRICAL CONTRACTORS' ASSOCIATION OF CITY OF CHICAGO (ECA),03/30/2020
3827782562,01/01/2020,03/31/2020,3836,JOHN,A,DOERRER,0.00,140.00,0.00,0.00,140.00,140.00,2474572655,CHICAGO RETAIL MERCHANTS ASSOC.,10/05/2020
2375345008,04/01/2020,06/30/2020,3996,DONOVAN,W,PEPPER,15000.00,0.00,50.00,0.00,0.00,15150.00,4244390342,WALGREEN CO.,07/19/2020
1995817468,07/01/2020,09/30/2020,3996,DONOVAN,W,PEPPER,15000.00,0.00,0.00,0.00,0.00,15100.00,4244390342,WALGREEN CO.,10/20/2020
2196364259,04/01/2020,06/30/2020,24764,WILLIAM,,KATT,0.00,0.00,0.00,0.00,0.00,235.74,3422115480,SAINT ANTHONY HOSPITAL,07/13/2020
3596860882,04/01/2020,06/30/2020,24803,AMY,,BARRY,0.00,0.00,0.00,0.00,0.00,250.00,1188783448,ILLINOIS HOSPITAL ASSOCIATION,07/10/2020
1892829700,07/01/2020,09/30/2020,24221,KELLY,,EICKENHORST,0.00,0.00,51.00,0.00,0.00,51.00,2992711528,AMERICAN AIRLINES,10/20/2020
200959754,01/01/2020,03/31/2020,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,3233065838,"MPI CONTRACTING, INC",10/30/2020
3907198552,07/01/2017,09/30/2017,3836,JOHN,A,DOERRER,0.00,76.00,0.00,0.00,76.00,76.00,3400105912,"ASTELLAS PHARMA US, INC.",10/04/2017
3965226255,01/01/2014,03/31/2014,9382,TALAR,,HOVNANIAN,0.00,0.00,0.00,0.00,0.00,75.00,2036605659,RANQUIST DEVELOPMENT GROUP,04/16/2014
1841860236,10/01/2018,12/31/2018,4003,SCOTT,E,SAEF,0.00,0.00,0.00,0.00,0.00,2.55,2796573750,COMED,01/22/2019
555910693,01/01/2014,03/31/2014,9162,MIKE,,ESTADT,0.00,0.00,35.00,0.00,0.00,35.00,4066986617,"KOCH COMPANIES PUBLIC SECTOR, LLC AND AFFILIATES",04/10/2014
568444404,01/01/2014,03/31/2014,6961,SARAH,,CALDER,0.00,0.00,0.00,0.00,0.00,250.00,385079875,METROPOLITAN CHICAGO HEALTHCARE COUNCIL,04/11/2014
