GIFT_ID,PERIOD_START,PERIOD_END,GIFT,RECIPIENT_FIRST_NAME,RECIPIENT_LAST_NAME,RECIPIENT_TITLE,VALUE,DEPARTMENT,LOBBYIST_ID,LOBBYIST_FIRSTNAME,LOBBYIST_LASTNAME,CREATED_DATE
2766018339,10/01/2015,12/31/2015,0,ANDREW,CUBRIA,ASSISTANT VICE PRESIDENT,0.00,FINANCE,11821,ANDREW,CUBRIA,01/20/2016
2914606507,10/01/2012,12/31/2012,GIFT BASKET,SUSAN,LESKE,MS.,46.45,HOUSING AND ECONOMIC DEVELOPMENT,3992,VIRGINIA,PACE,01/14/2013
723760615,10/01/2012,12/31/2012,DINNER,STEPHANIE,NEELY,TREASURER,20.00,CITY TREASURER,4193,JOHN,DUNN,01/23/2013
1917970516,01/01/2014,03/31/2014,MEAL,DAVID,SPIELFOGEL,ADVISOR,35.00,MAYORS OFFICE,4339,AMY,BRENNAN,04/16/2014
695258654,04/01/2017,06/30/2017,CAKE,DAVID,MOORE,ALDERMAN,13.50,CITY COUNCIL / ALDERMEN,17143,WOJTEK,GIL,07/10/2017
2398005463,10/01/2012,12/31/2012,LUNCH,ARIEL,REBOYRAS,ALDERMAN,29.42,CITY COUNCIL / ALDERMEN,4301,DANIEL,LYNCH,01/18/2013
3863214286,07/01/2019,09/30/2019,N/A,N/A,N/A,N/A,0.00,LAW DEPARTMENT,24264,STEPHEN,PATTON,10/16/2019
3198527837,10/01/2018,12/31/2018,NONE,NONE,NONE,NONE,0.00,BUILDINGS,3979,JOHN,SUZUKI,01/09/2019
93741739,10/01/2019,12/31/2019,BOOK,LORI,LIGHTFOOT,MAYOR,18.00,MAYORS OFFICE,22022,AMY,WAGGONER,01/08/2020
1501941148,10/01/2012,12/31/2012,0,THOMAS,COFFEY,CEO,0.00,CITY COUNCIL / ALDERMEN,4257,THOMAS,COFFEY,01/15/2013
4260187494,10/01/2012,12/31/2012,GIFT BASKET,JESSICA,DUARTE,MS.,46.45,HOUSING AND ECONOMIC DEVELOPMENT,3827,MARGARET,TINUCCI,01/14/2013
2462303803,01/01/2019,03/31/2019,MEAL,ROBERT,MALDONADO,ALDERMAN,8.52,CITY COUNCIL / ALDERMEN,15501,DAVID,GROSS,04/18/2019
728286273,04/01/2013,06/30/2013,NONE,NONE,NONE,NONE,0.00,BUILDINGS,3979,JOHN,SUZUKI,07/02/2013
1846708793,07/01/2012,09/30/2012,NONE,AMY,MALICK,DEPUTY COMMISSIONER,0.00,AVIATION,4663,MICHAEL,ROMANCO,11/04/2012
3561665899,07/01/2014,09/30/2014,BOOK,ED,BURKE,ALDERMAN,20.00,CITY COUNCIL / ALDERMEN,4064,WILLIAM,FILAN,10/08/2014
2643230775,10/01/2014,12/31/2014,FRUIT BOX,ED,ELLIS,ASSISTANT COMMISSIONER,19.96,PLANNING AND DEVELOPMENT,3992,VIRGINIA,PACE,01/12/2015
1208666843,04/01/2014,06/30/2014,NONE,EDWARD,EBERTSCH,FLEET SERVICE,0.00,FIRE DEPARTMENT,4063,JODY,JOY,07/16/2014
66714973,01/01/2012,06/30/2012,INVITATION FOR BREAKFAST AT CHAMBER ANNUAL MEETING,ROSEMARY,KRIMBEL,COMMISSIONER,35.00,BUSINESS AFFAIRS AND CONSUMER PROTECTION (BACP),4201,MICHAEL,MINI,08/29/2012
3798608795,04/01/2014,06/30/2014,PEACE SIGN KEY CHAIN & COLLARS,ROSEMARIE,ANDOLINO,COMMISSIONER,39.00,AVIATION,9462,KAREN,KENT,07/23/2014
413863800,10/01/2017,12/31/2017,HOLIDAY BAKERY,N/A,N/A,OFFICE OF 4TH WARD,43.95,CITY COUNCIL / ALDERMEN,19186,ROBERT,WILSON,01/20/2018
2163129116,10/01/2017,12/31/2017,MEAL,ADAM,GYPALO,CHIEF OF STAFF,16.00,CITY COUNCIL / ALDERMEN,3984,RICHARD,ERICKSON,01/15/2018
1671050464,10/01/2012,12/31/2012,BROWNIES,GEORGE,CRONVICH,MR.,30.50,CHICAGO HOUSING AUTHORITY,4096,LAWRENCE,PUSATERI,01/15/2013
206331447,04/01/2014,06/30/2014,MEAL,BRENDAN,REILLY,ALDERMAN,35.00,CITY COUNCIL / ALDERMEN,3984,RICHARD,ERICKSON,07/21/2014
1652043156,10/01/2013,12/31/2013,LUNCHEON,PATRICK,O'CONNOR,ALDERMAN,50.00,CITY COUNCIL / ALDERMEN,4005,MARGARET,HOULIHAN SMITH,01/20/2014
1401135155,07/01/2014,09/30/2014,BOOK & NOTEBOOK AT YOUTH AMBASSADOR LUNCHEON 7/9/14,LATASHA,THOMAS,ALD,35.00,CITY COUNCIL / ALDERMEN,3878,MICHAEL,GUERRA,10/15/2014
3776860014,04/01/2013,06/30/2013,BREAKFAST ANNUAL MEETING,CARDENAS,GEORGE,ALDERMAN,43.00,CITY COUNCIL / ALDERMEN,4200,GERALD,ROPER,07/09/2013
1740248112,10/01/2012,12/31/2012,NONE,MORGAN,BASSEY,PRESIDENT/CEO,0.00,FINANCE,3820,MORGAN,BASSEY,01/19/2013
2119712357,01/01/2012,06/30/2012,LUNCH,CHERYL,TOMASZENSKI,EMPLOYEE,12.00,FIRE DEPARTMENT,4296,AMY,GARMAN,09/27/2012
2774738615,10/01/2019,12/31/2019,NONE,CASEY,DAN,"DEPUTY DIRECTOR, PSIIT, OEMC",0.00,EMERGENCY MANAGEMENT & COMMUNICATIONS,20210,KEN,LUKOWSKI,12/20/2019
3473297126,04/01/2018,06/30/2018,NA,LEWIS W,"POWELL, III",ATTORNEY,0.00,PLANNING AND DEVELOPMENT,3955,LEWIS,POWELL,07/09/2018
2532388970,10/01/2012,12/31/2012,--------,------------,---------,------------,0.00,FLEET & FACILITY MANAGEMENT,4101,ROBERT,DEGNAN,01/31/2013
3264392647,04/01/2013,06/30/2013,"GIFT CARD (GIFT WAS FROM THE CLIENT, NOT THE LOBBYIST, AND WAS RETURNED BY THE ALDERMAN",AMEYA,PAWAR,ALDERMAN,50.00,CITY COUNCIL / ALDERMEN,4163,BRIAN,BERNARDONI,08/13/2013
2722037277,01/01/2012,06/30/2012,INVITATION FOR BREAKFAST AT CHAMBER ANNUAL MEETING,JAMES,BALCER,ALDERMAN,35.00,CITY COUNCIL / ALDERMEN,4201,MICHAEL,MINI,08/29/2012
1782835015,01/01/2019,03/31/2019,NONE,NONE,NONE,NONE,0.00,BUILDINGS,3979,JOHN,SUZUKI,04/01/2019
4208098536,04/01/2013,06/30/2013,GROUP LUNCH,SCOTT,YANOVER,N/A,11.00,FINANCE,5281,MICHAEL,GINTER,07/26/2013
887799113,04/01/2013,06/30/2013,BREAKFAST ANNUAL MEETING,HOLMES,NATASHIA,ALDERMAN,43.00,CITY COUNCIL / ALDERMEN,4200,GERALD,ROPER,07/09/2013
405256711,10/01/2014,12/31/2014,FRUIT BOX,MICHELLE,NOLAN,PROJECT MANAGER,19.96,PLANNING AND DEVELOPMENT,3992,VIRGINIA,PACE,01/12/2015
3760732804,01/01/2013,03/31/2013,N/A,CHARLOTTE,KNIGHT-MARSHALL,PRINCIPAL,0.00,FINANCE,4042,CHARLOTTE,KNIGHT-MARSHALL,04/01/2013
2893979486,04/01/2013,06/30/2013,BREAKFAST ANNUAL MEETING,BALCER,JAMES,ALDERMAN,43.00,CITY COUNCIL / ALDERMEN,4200,GERALD,ROPER,07/09/2013
1341646751,01/01/2012,06/30/2012,LUNCH,MARGE,LAURINO,ALDERMAN,41.00,CITY COUNCIL / ALDERMEN,4005,MARGARET,HOULIHAN,08/13/2012
2610139351,10/01/2014,12/31/2014,0.00,EDWARD,EBERTSCH,SENIOR AUTOMOTIVE EQUIPMENT ANALYST,0.00,FLEET & FACILITY MANAGEMENT,4063,JODY,JOY,01/07/2015
2529043687,07/01/2014,09/30/2014,0,GERALD,HOLLOWELL,DIRECTOR,0.00,EMERGENCY MANAGEMENT & COMMUNICATIONS,8622,MICHELE,NELSON,10/20/2014
343060511,10/01/2018,12/31/2018,MEAL,ADAM,GYPALO,CHIEF OF STAFF,16.00,CITY COUNCIL / ALDERMEN,3984,RICHARD,ERICKSON,01/11/2019
1915222662,01/01/2019,03/31/2019,MEAL,RAY,LOPEZ,ALDERMAN,10.22,CITY COUNCIL / ALDERMEN,15501,DAVID,GROSS,04/18/2019
1001225272,10/01/2012,12/31/2012,BANK OF AMERICA MARATHON BASEBALL CAP,JAMES,BALCER,ALDERMAN,12.95,CITY COUNCIL / ALDERMEN,4152,PATRICIA,HOLDEN,01/17/2013
2602198195,07/01/2013,09/30/2013,COOKIES,RAY,SUAREZ,ALERMAN,6.00,CITY COUNCIL / ALDERMEN,4272,CONSTANCE,ZAIO,10/24/2013
3056127275,10/01/2013,12/31/2013,FOOD PACKAGE,MICHELLE,NOLAN,MS.,27.00,HOUSING AND ECONOMIC DEVELOPMENT,3992,VIRGINIA,PACE,01/16/2014
1107393023,04/01/2013,06/30/2013,BREAKFAST ANNUAL MEETING,MUNOZ,RICARDO,ALDERMAN,43.00,CITY COUNCIL / ALDERMEN,4200,GERALD,ROPER,07/09/2013
756840883,10/01/2018,12/31/2018,COOKIES,DAVID,REIFMAN,COMISSIONER OF PLANNING & DEV,37.00,PLANNING AND DEVELOPMENT,5881,STEPHEN,FRIEDMAN,01/16/2019
3425183691,10/01/2013,12/31/2013,FOOD PACKAGE,BILL,POVALA,MR.,27.00,HOUSING AND ECONOMIC DEVELOPMENT,3992,VIRGINIA,PACE,01/16/2014
3521116431,10/01/2016,12/31/2016,COOKIES,KATHLEEN,DICKHUT,DEPUTY COMMISSIONER,20.00,PLANNING AND DEVELOPMENT,4177,STEPHEN,FRIEDMAN,01/13/2017
2258001800,10/01/2012,12/31/2012,0,SANDRA,WIDERBORG,DIRECTOR CORPORATE REAL ESTATE,0.00,LAW DEPARTMENT,3862,SANDRA,WIDERBORG,01/21/2013
2498944520,07/01/2015,09/30/2015,NONE,NONE,NONE,NONE,0.00,BUILDINGS,3979,JOHN,SUZUKI,09/30/2015
3520048362,07/01/2018,09/30/2018,MEAL,TONI,FOULKES,ALDERMAN,26.00,CITY COUNCIL / ALDERMEN,12761,M. ELAYNE,GRANGER,10/11/2018
3773468345,01/01/2016,03/31/2016,NONE,NONE,NONE,NONE,0.00,BUILDINGS,3979,JOHN,SUZUKI,05/02/2016
3241989865,10/01/2014,12/31/2014,FRUIT BOX,TIM,VEENSTRA,SENIOR REAL ESTATE DEVELOPMENT MANAGER,19.96,CHICAGO HOUSING AUTHORITY,4096,LAWRENCE,PUSATERI,01/15/2015
380293489,10/01/2013,12/31/2013,NONE,N/A,N/A,N/A,0.00,FINANCE,3820,MORGAN,BASSEY,01/07/2014
2128143342,01/01/2012,06/30/2012,INVITATION FOR BREAKFAST AT CHAMBER ANNUAL MEETING,MARTY,QUINN,ALDERMAN,35.00,CITY COUNCIL / ALDERMEN,4201,MICHAEL,MINI,08/29/2012
2310379145,04/01/2018,06/30/2018,FOOD/BEVERAGE,DEBRA,SILVERSTEIN,ALDERMAN,42.00,CITY COUNCIL / ALDERMEN,9441,JASON,LUNDERMAN,07/17/2018
1140983224,07/01/2019,09/30/2019,MEAL/LUNCH,CONNOR,BRASHEAR,CHIEF OF STAFF TO CFO,18.95,CITY TREASURER,15423,OMAR,DAGHESTANI,10/16/2019
1180188019,07/01/2019,09/30/2019,NONE,NONE,NONE,NONE,0.00,BUILDINGS,3979,JOHN,SUZUKI,10/01/2019
2355244038,04/01/2013,06/30/2013,BREAKFAST ANNUAL MEETING,COLON,REY,ALDERMAN,43.00,CITY COUNCIL / ALDERMEN,4200,GERALD,ROPER,07/09/2013
1355145686,04/01/2017,06/30/2017,NONE,NONE,NONE,NONE,0.00,BUILDINGS,3979,JOHN,SUZUKI,06/28/2017
101525729,01/01/2012,06/30/2012,INVITATION FOR BREAKFAST AT CHAMBER ANNUAL MEETING,MATTHEW,O'SHEA,ALDERMAN,35.00,CITY COUNCIL / ALDERMEN,4201,MICHAEL,MINI,08/29/2012
1536734029,04/01/2017,06/30/2017,0,STEVEN,GINSBERG,ATTORNEY,0.00,CHICAGO PUBLIC SCHOOLS,3988,STEVEN,GINSBERG,07/05/2017
375595398,01/01/2012,06/30/2012,INVITATION FOR BREAKFAST AT CHAMBER ANNUAL MEETING,WILLIE,COCHRAN,ALDERMAN,35.00,CITY COUNCIL / ALDERMEN,4201,MICHAEL,MINI,08/29/2012
1906602485,10/01/2012,12/31/2012,LUNCH,REGNER,SUAREZ,ALDERMAN,17.79,CITY COUNCIL / ALDERMEN,4005,MARGARET,HOULIHAN,01/17/2013
4160889079,04/01/2018,06/30/2018,LALO'S,VIGLIELMO,DAVID,CDOT/DEO,44.70,TRANSPORTATION,19186,ROBERT,WILSON,07/18/2018
1261574826,10/01/2013,12/31/2013,NONE,DEBORAH,HILL,ATTORNEY,0.00,CHICAGO PUBLIC SCHOOLS,3988,STEVEN,GINSBERG,01/22/2014
3013277271,07/01/2012,09/30/2012,LUNCH,TIMOTHY,CULLERTON,ALDERMAN,33.78,CITY COUNCIL / ALDERMEN,4301,DANIEL,LYNCH,10/03/2012
4134507146,10/01/2012,12/31/2012,NONE,GABRIELLE,BRUSSEL,NONE,0.00,MAYORS OFFICE,6164,GABRIELLE,BRUSSEL,01/14/2013
3318061812,04/01/2019,06/30/2019,NONE,JAMES,WEISS,MR,0.00,CITY COUNCIL / ALDERMEN,22642,PAUL,MORRIS,07/17/2019
1977908197,10/01/2012,12/31/2012,FRANGO CHOCOLATES,ANDREW,MOONEY,COMMISSIONER,21.00,HOUSING AND ECONOMIC DEVELOPMENT,4336,RALPH,HUGHES,01/14/2013
2226251033,01/01/2012,06/30/2012,LUNCH,MARY,O'CONNOR,ALDERMAN,41.00,CITY TREASURER,4005,MARGARET,HOULIHAN,08/13/2012
1194532582,04/01/2018,06/30/2018,FOOD/BEVERAGE,TONI,FOULKES,ALDERMAN,42.00,CITY COUNCIL / ALDERMEN,6181,YAFAWN,SMITH,07/17/2018
1030346186,10/01/2019,12/31/2019,BOOK,SAMIR,MAYEKAR,DEPUTY MAYOR,18.00,MAYORS OFFICE,22022,AMY,WAGGONER,01/08/2020
1832542519,04/01/2013,06/30/2013,BREAKFAST ANNUAL MEETING,FOULKES,TONI,ALDERMAN,43.00,CITY COUNCIL / ALDERMEN,4200,GERALD,ROPER,07/09/2013
96800293,04/01/2015,06/30/2015,REFRESHMENTS AND LUNCH,KAREN,DREYFUSS,48TH WARD EDUCATION LIAISON,22.47,CITY COUNCIL / ALDERMEN,8081,OLGA,GUTIERREZ,07/16/2015
64586814,01/01/2013,03/31/2013,BREAKFAST,MARGARET,LAURINO,ALDERMAN,25.00,CITY COUNCIL / ALDERMEN,4301,DANIEL,LYNCH,04/12/2013
3651564160,07/01/2014,09/30/2014,BOOK & NOTEBOOK AND YOUTH AMBASSADOR LUNCHEON 7/9/14,TONI,FOULKES,ALD,35.00,CITY COUNCIL / ALDERMEN,3878,MICHAEL,GUERRA,10/15/2014
601422284,01/01/2013,03/31/2013,0,COURTNEY,KNIGHT,MD,0.00,BOARD OF ETHICS,4137,COURTNEY,KNIGHT,04/02/2013
4040700807,07/01/2017,09/30/2017,N/A,N/A,N/A,N/A,0.00,FINANCE,3820,MORGAN,BASSEY,10/04/2017
2697614777,07/01/2018,09/30/2018,MEAL,RODERICK,SAWYER,ALDERMAN,21.95,CITY COUNCIL / ALDERMEN,12761,M. ELAYNE,GRANGER,10/12/2018
3103767368,07/01/2019,09/30/2019,HAT,LORI,LIGHTFOOT,MAYOR,10.00,MAYORS OFFICE,24286,TOM,FEENEY,11/06/2019
691310897,10/01/2012,12/31/2012,0,NATHAN,LOPP,MD CORPORATE REAL ESTATE,0.00,O'HARE MODERNIZATION PROJECT,3799,NATHAN,LOPP,01/21/2013
1047913848,10/01/2012,12/31/2012,COOKIES,JEREMY,FINE,ASST COMPT,35.00,FINANCE,4177,STEPHEN,FRIEDMAN,02/11/2013
4014661590,10/01/2015,12/31/2015,LUNCH,WILL,BURNS,ALDERMAN,18.47,CITY COUNCIL / ALDERMEN,3739,COURTNEY,NOTTAGE,01/05/2016
1297278465,10/01/2016,12/31/2016,MEAL / DINNER,SCOTT,YONOVER,DEPUTY DIRECTOR OF FINANCIAL POLICY,45.00,FINANCE,14185,MICHAEL,HAMILTON,01/20/2017
929349842,10/01/2014,12/31/2014,FRUIT BOX,ANNA,BOOTH,ANALYST,19.96,PLANNING AND DEVELOPMENT,3992,VIRGINIA,PACE,01/12/2015
1008543677,10/01/2014,12/31/2014,FRUIT BOX,BILL,POVALA,MONITORING,19.96,PLANNING AND DEVELOPMENT,3992,VIRGINIA,PACE,01/12/2015
4234479448,04/01/2013,06/30/2013,BREAKFAST ANNUAL MEETING,SPOSATO,NICHOLAS,ALDERMAN,43.00,CITY COUNCIL / ALDERMEN,4200,GERALD,ROPER,07/09/2013
1387818041,07/01/2012,09/30/2012,N/A,N/A,NONE,N/A,0.00,AVIATION,3966,STEVEN,COWELL,10/01/2012
2610557024,10/01/2012,12/31/2012,GIFT BASKET,KARI,SABA,MS.,46.45,CHICAGO HOUSING AUTHORITY,4096,LAWRENCE,PUSATERI,01/14/2013
2688484696,10/01/2012,12/31/2012,NONE,LARS,SKUGSTAD,NONE,0.00,MAYORS OFFICE,6221,LARS,SKUGSTAD,01/19/2013
2220871819,04/01/2013,06/30/2013,NONE,N/A,N/A,N/A,0.00,FINANCE,3820,MORGAN,BASSEY,07/08/2013
1995825343,10/01/2017,12/31/2017,FOOD AND BEVERAGE,SOPHIA,KING,ALDERMAN,25.00,CITY COUNCIL / ALDERMEN,13342,JILL,SZUCHMACHER,01/19/2018
4097567812,01/01/2013,03/31/2013,0,STEVEN,GINSBERG,ATTORNEY,0.00,CHICAGO PUBLIC SCHOOLS,3988,STEVEN,GINSBERG,01/22/2014
3927449470,07/01/2019,09/30/2019,NONE,NONE,NONE,N/A,0.00,MAYORS OFFICE,23621,JONATHAN,HART,10/18/2019
1001263227,04/01/2013,06/30/2013,BREAKFAST ANNUAL MEETING,O'CONNOR,PATRICK,ALDERMAN,43.00,CITY COUNCIL / ALDERMEN,4200,GERALD,ROPER,07/09/2013
967282249,01/01/2019,03/31/2019,MEAL,GEORGE,CARDENAS,ALDERMAN,21.27,CITY COUNCIL / ALDERMEN,15501,DAVID,GROSS,04/18/2019
226849314,10/01/2018,12/31/2018,COOKIES,TIM,JEFFRIES,DEPUTY COMMISSIONER TIF ADMIN,25.00,PLANNING AND DEVELOPMENT,5881,STEPHEN,FRIEDMAN,01/16/2019
2902883446,01/01/2013,03/31/2013,0,JODY,JOY,SALES,0.00,FIRE DEPARTMENT,4063,JODY,JOY,04/29/2013
3744337689,01/01/2015,03/31/2015,NONE,NONE,NONE,NONE,0.00,AVIATION,3781,ERIC,LOCKE,04/14/2015
1170099240,01/01/2012,06/30/2012,INVITATION FOR BREAKFAST AT CHAMBER ANNUAL MEETING,LOIS,SCOTT,CFO,35.00,MAYORS OFFICE,4201,MICHAEL,MINI,08/29/2012
2371760365,04/01/2013,06/30/2013,BREAKFAST ANNUAL MEETING,HARRIS,MICHELLE,ALDERMAN,43.00,CITY COUNCIL / ALDERMEN,4200,GERALD,ROPER,07/09/2013
140176740,01/01/2018,03/31/2018,BOOK,EDWARD,BURKE,ALDERMAN,40.00,CITY COUNCIL / ALDERMEN,3847,GRAHAM,GRADY,01/17/2019
3255538203,01/01/2018,03/31/2018,FORD BOOK AND A CAP,ED,BURKE,COUNCILMAN,40.00,CITY COUNCIL / ALDERMEN,20581,ANTHONY,REINHART,04/25/2018
1072200061,01/01/2012,06/30/2012,INVITATION FOR BREAKFAST AT CHAMBER ANNUAL MEETING,MARIA,GUERRA,STAFF,35.00,MAYORS OFFICE,4201,MICHAEL,MINI,08/29/2012
1741951037,04/01/2015,06/30/2015,REFRESHMENTS AND LUNCH,JOANNA,HAZELDEN,BRANCH MANAGER,22.47,LIBRARY,8081,OLGA,GUTIERREZ,07/16/2015
2877936479,10/01/2012,12/31/2012,0,KATE,GEBO,VP CORPORATE REAL ESTATE,0.00,O'HARE MODERNIZATION PROJECT,4335,KATE,GEBO,01/21/2013
1730971797,10/01/2018,12/31/2018,COOKIES,KATHLEEN,DICKHUT,DEPUTY COMMISSIONER,25.00,PLANNING AND DEVELOPMENT,5881,STEPHEN,FRIEDMAN,01/16/2019
2320659416,10/01/2012,12/31/2012,COOKIES,ANDREW,MOONEY,COMMISSIONER,45.00,HOUSING AND ECONOMIC DEVELOPMENT,4177,STEPHEN,FRIEDMAN,02/11/2013
2636056105,01/01/2016,03/31/2016,N/A,BRITTANY,PETERSON,MRS,0.00,BOARD OF ETHICS,13261,BRITTANY,PETERSON,04/11/2016
241320429,01/01/2016,03/31/2016,BREAKFAST MEETING,GEORGE,HELDING,SPECIAL ASSISTANT TO THE CITY TREASURER,40.00,CITY TREASURER,8381,STACY,STOLL,04/18/2016
3177844759,10/01/2012,12/31/2012,LUNCH,MARY,O'CONNOR,ALDERMAN,17.79,CITY COUNCIL / ALDERMEN,4005,MARGARET,HOULIHAN,01/17/2013
2491037412,10/01/2016,12/31/2016,MEAL,WALTER,BURNETT,ALD,44.82,CITY COUNCIL / ALDERMEN,5107,MARLOW,COLVIN,02/08/2017
4093736911,10/01/2013,12/31/2013,LUNCHEON,TIM,CULLERTON,ALDERMAN,50.00,CITY COUNCIL / ALDERMEN,4005,MARGARET,HOULIHAN SMITH,01/20/2014
