Year,EMPLOYER_ID,NAME,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,COUNTRY,PHONE,FAX,CREATED_DATE,ACTIVE
2020,52488023,CHICAGOLAND ASSOCIATED GENERAL CONTRACTORS,ONE OAKBROOK TERRACE,SUITE 210,OAKBROOK TERRACE,IL,60181,UNITED STATES,6303306541,,07/31/2020,Y
2020,2979962821,GR CONSULTING,712 SOUTH 2ND STREET,,SPRINGFIELD,IL,62704,UNITED STATES,2177415692,,08/03/2020,Y
2020,3479665644,THE NATURE CONSERVANCY,8 S MICHIGAN AVE,SUITE 900,CHICAGO,IL,60603,UNITED STATES,312580-2100,,03/12/2020,Y
2020,2443381039,RYAN MCCREERY,7306 TORRINGTON WAY,,SPRINGFIELD,IL,62711,UNITED STATES,3092757569,,03/12/2020,Y
2020,1538394323,MARGARET VAUGHN,9211 WATERFALL GLEN BOULEVARD,,DARIEN,IL,60561,UNITED STATES,2172800206,,03/14/2020,Y
2020,1388129290,ELEVATE ENERGY,"322 S GREEN STREET, SUITE 300",,CHICAGO,IL,60607,UNITED STATES,773269-4037,,11/20/2019,Y
2020,1225517503,JOHNSON & JOHNSON,ONE JOHNSON & JOHNSON PLAZA,,NEW JERSEY,NJ,08933,UNITED STATES,7736783220,,03/19/2020,Y
2020,638022793,"TUSK STRATEGIES, INC.",251 PARK AVENUE SOUTH,8TH FLOOR,NEW YORK,NY,10010,UNITED STATES,917-304-5628,,04/16/2018,Y
2020,1866115233,RES PUBLICA GROUP,444 N. MICHIGAN AVE,SUITE 3600,CHICAGO,IL,60611,UNITED STATES,3127553535,,01/30/2018,Y
2020,3989938709,THALES CONSULTING INC,980 NINTH STREET 16TH FLOOR,,SACRAMENTO,CA,95814-2736,UNITED STATES,5309791648,,08/06/2020,Y
2020,1171055830,ILLINOIS STATE VETERINARY MEDICAL ASSOCIATION,1121 CHATHAM RD,,SPRINGFIELD,IL,62704,UNITED STATES,217-546-8381,,03/26/2020,Y
2020,1559876315,MELVIN SECURITIES,"455 N. CITYFRONT PLAZA DR.,",SUITE 3100,CHICAGO,IL,60611,UNITED STATES,3129950871,,03/26/2020,Y
2020,164597250,ILLINOIS LIBRARY ASSOCIATION,"33 W. GRAND, STE. 401",,CHICAGO,IL,60654,UNITED STATES,3126441896,3126441899,03/31/2020,Y
2019,2639964178,CARUSO CONSULTS LLC,1125 W. MORSE AVE.,,CHICAGO,IL,60626,UNITED STATES,3122876066,,04/02/2020,Y
2020,569435499,DALEY STRATEGY GROUP,351 W. HUBBARD,#708,CHICAGO,IL,60654,UNITED STATES,3127724991,,04/02/2020,Y
2020,800168466,MOLSON COORS BEVERAGE COMPANY USA LLC,3939 WEST HIGHLAND BLVD.,,MILWAUKEE,WI,53208,UNITED STATES,4149313129,,04/02/2020,Y
2020,1962126099,SAINT ANTHONY HOSPITAL,2875 W. 19TH STREET,,CHICAGO,IL,60623,UNITED STATES,7734844300,,04/06/2020,Y
2020,584287456,WOMEN EMPLOYED,"65 E WACKER PLACE, SUITE 1500",,CHICAGO,IL,60601-7253,UNITED STATES,312-782-3902,,04/07/2020,Y
2020,4199099836,"CAMINER LAW, LLC",2612 W. SUNNYSIDE AVE.,,CHICAGO,IL,60625,UNITED STATES,7732634013,,04/07/2020,Y
2020,2373844054,"MARAGOS & MARAGOS I, CHTD.",1 NORTH LASALLE STREET SUITE 2200,,CHICAGO,IL,60602,UNITED STATES,312578-1012,,07/02/2019,Y
2020,740417521,BRIAN BERNARDONI,5773 N. LINCOLN AVENUE,,CHICAGO,IL,60659,UNITED STATES,3127311407,,04/09/2020,Y
2020,4290868349,RKF CONSULTING,1 N LASALLE ST,,CHICAGO,IL,60602,UNITED STATES,8474008650,,04/17/2020,Y
2020,2660965347,CHICAGOLAND CHAMBER OF COMMERCE,410 N MICHIGAN AVE,#900,CHICAGO,IL,60611,UNITED STATES,312494-6700,,04/23/2020,Y
2020,2121110472,BOOKER VANCE,9117 S INDIANA AVE,,CHICAGO,IL,60619,UNITED STATES,7732668323,,04/23/2020,Y
2020,3103453789,"RHEAPLY, INC.",1850 N DAMEN AVE,,CHICAGO,IL,60647,UNITED STATES,9372863717,,10/08/2019,Y
2020,2332517307,JAY D. DOHERTY & ASSOCIATES,210 E. PEARSON STREET,#9B,CHICAGO,IL,60611,UNITED STATES,312-932-0338,312-654-0671,01/04/2013,Y
2020,3943922080,COZEN O�CONNOR,123 N. WACKER DRIVE SUITE 1800,,CHICAGO,IL,60606,UNITED STATES,312-382-3133,,04/30/2020,Y
2020,3688231816,POSTMATES INC.,201 3RD STREET,SUITE 200,SAN FRANCISCO,CA,94103,UNITED STATES,4088597173,,04/30/2020,Y
2020,785710370,F.H.BLACK & COMPANY INCORPORATED,36 ROSLYN ROAD,WINNIPEG. MB,WINNIPEG,IL,R3L 0G6,CANADA,8448525225,,08/07/2020,Y
2021,3100490629,AMERICAN PETROLEUM INSTITUTE,1220 L STREET NW,,WASHINGTON,DC,20005,UNITED STATES,202-682-8000,202-682-8000,07/28/2014,Y
2021,226240139,"BELGRAVIA GROUP, LTD.",1101 W MONROE ST,SUITE 200,CHICAGO,IL,60607,UNITED STATES,312-751-2777,,05/08/2017,Y
2021,2863435308,TALAN&KTSANES,223 W JACKSON #512,,CHICAGO,IL,60606,UNITED STATES,3126297558,3126293603,01/17/2013,Y
2021,1153550273,"CHINESE AMERICAN SERVICE LEAGUE, INC",2141 SOUTH TAN COURT,,CHICAGO,IL,60616,UNITED STATES,3127910418,,12/19/2019,Y
2020,782816057,YWCA METROPOLITAN CHICAGO,1 N LASALLE STREET,SUITE 1150,CHICAGO,IL,60602,UNITED STATES,312-439-8006,,03/04/2020,Y
2021,2914310219,GREGORY J. STEADMAN,1174 BETSY ROSS PLACE,,BOLINGBROOK,IL,60490,UNITED STATES,2249352731,,12/28/2018,Y
2021,3314122666,CLEAR CHANNEL AIRPORTS,2325 EAST CAMELBACK ROAD,SUITE 400,PHOENIX,AZ,85016,UNITED STATES,602-381-5718,,08/31/2020,Y
2021,117452463,ELECTRICAL CONTRACTORS' ASSOCIATION OF CITY OF CHICAGO (ECA),5 WESTBROOK CORP. CTR. #940,,WESTCHESTER,IL,60154,UNITED STATES,708531-0022,708531-0071,12/18/2017,Y
2021,2863919151,TKG & ASSOCIATES LLC,5228 S. BLACKSTONE AVE.,STE LLV,CHICAGO,TX,60615,UNITED STATES,312-329-8100,866-871-0043,12/18/2020,Y
2021,1100194010,"METRON-FARNIER, LLC",5665 AIRPORT BLVD,,BOULDER,CO,80504,UNITED STATES,720-641-5254,303-449-1464,12/19/2016,Y
2021,3556913344,KPMG LLP,200 E. RANDOLPH DR,"KPMG LLP, AON CENTER",CHICAGO,IL,60601,UNITED STATES,312-665-1000,312-665-6000,01/10/2013,Y
2021,4093327043,G&R PUBLIC LAW AND STRATEGIES,"20 SOUTH CLARK STREET, SUITE 1620",,CHICAGO,IL,60603,UNITED STATES,3125085589,,07/07/2015,Y
2021,1925346228,SKYWAY CONCESSION COMPANY LLC,205 N. MICHIGAN AVENUE,SUITE 2510,CHICAGO,IL,60601,UNITED STATES,312-552-7100,,01/08/2013,Y
2021,3874356063,"JAM PRODUCTIONS, LTD.",207 W. GOETHE,,CHICAGO,IL,60610,UNITED STATES,312-266-6262,,01/26/2015,Y
2021,904780319,"H. W. LOCHNER, INC.",225 W. WASHINGTON,12TH FLOOR,CHICAGO,IL,60606,UNITED STATES,3123727346,3123728208,10/08/2019,Y
2021,1303827420,CHINESE AMERICAN SERVICE LEAGUE,2141 S TAN COURT,,CHICAGO,IL,60616,UNITED STATES,3127911569,,12/18/2020,Y
2021,4200766971,POLSKY & ASSOCIATES LTD,200 EAST RANDOLPH STREET,SUITE 5100,CHICAGO,IL,60601,UNITED STATES,312-540-0200,,12/20/2018,Y
2020,1393999373,MUSEUMS IN THE PARK,111 S. MICHIGAN AVENUE,,CHICAGO,IL,60603,UNITED STATES,312-447-0460,,05/05/2020,Y
2020,1457236124,TURING STRATEGIES LLC,"1800 S THROOP ST, UNIT 2B",,CHICAGO,IL,60608,UNITED STATES,8155924073,,05/07/2020,Y
2020,917832844,CROWN CASTLE,1220 AUGUSTA DRIVE,SUITE 600,HOUSTON,TX,77057,UNITED STATES,713-570-3000,,05/11/2020,Y
2020,1573961415,NYCE GROUP,601 SOUTH CALIFORNIA,,CHICAGO,IL,60612,UNITED STATES,773-754-6180,,05/11/2020,Y
2020,3368729753,KATTEN MUCHIN ROSENMAN LLP,525 WEST MONROE STREET,,CHICAGO,IL,60659,UNITED STATES,312--902-5200,,05/14/2020,Y
2020,3113799950,"LYFT, INC.",185 BERRY STREET,SUITE 5000,SAN FRANCISCO,CA,94107,UNITED STATES,415903-2800,,05/15/2020,Y
2020,106722221,SAMANTHA STINSON,27 E MONROE,SUITE 1200,CHICAGO,IL,60603,UNITED STATES,3125450334,,05/15/2020,Y
2020,2392335455,SKINNY LABS INC. DBA SPIN,C/O 2350 KERNER BLVD. STE. 250,,SAN RAFAEL,CA,94901,UNITED STATES,4153896800,,05/19/2020,Y
2020,3026981893,SAMANTHA STINSON,1748 E 73RD PLACE,,CHICAGO,IL,60649,UNITED STATES,3125450334,,05/19/2020,Y
2020,4005913095,EMERGENT BIOSOLUTIONS INC.,401 PLYMOUTH ROAD,SUITE 400,PLYMOUTH MEETING,PA,19462,UNITED STATES,8442327811,,05/21/2020,Y
2020,109427112,THE NATURE CONSERVANCY,400 N MICHIGAN AVENUE,SUITE S1100,CHICAGO,IL,60611,UNITED STATES,312580-2100,,05/22/2020,Y
2020,407821450,AMERICAN LUNG ASSOCIATION IN ILLINOIS,"55 W. WACKER DR, SUITE 800",,CHICAGO,IL,60601,UNITED STATES,3014452507,,05/22/2020,Y
2020,3603025785,"HEALING TO ACTION, NFP",332 S. MICHIGAN AVE.,STE. 120-H696,CHICAGO,IL,60604,UNITED STATES,7036292897,,04/17/2020,Y
2020,3339624591,THE HUMANE SOCIETY OF THE UNITED STATES,1255 23RD STREET NW,SUITE 450,WASHINGTON,DC,20037,UNITED STATES,866-720-2676,,05/27/2020,Y
2020,737919571,MAPLEBEAR INC. D/B/A INSTACART,"50 BEALE STREET, #600",,SAN FRANCISCO,CA,94105,UNITED STATES,4157327700,,06/01/2020,Y
2021,680577657,"JCDECAUX NORTH AMERICA, INC.",350 5TH AVE.73RD FLOOR,,NEW YORK,NY,10118,UNITED STATES,6468341200,,01/22/2019,Y
2020,2428206385,FREDERICK M SMITH & ASSOCIATES,836 W VILLAGE CT,,CHICAGO,IL,60608,UNITED STATES,3125453305,,06/12/2020,Y
2020,901757685,"NATIONAL ASSOCIATION OF SOCIAL WORKERS, ILLINOIS CHAPTER",1500 N HALSTED,,CHICAGO,IL,60642,UNITED STATES,3124352100,,06/15/2020,Y
2020,3439332326,"GALLS, LLC",1340 RUSSELL CAVE RD,,LEXINGTON,KY,405053114,UNITED STATES,3142831554,,06/15/2020,Y
2020,3698315838,HAYS FIRM LLC,200 N. LASALLE,SUITE 2150,CHICAGO,IL,60601,UNITED STATES,3126262537,3124882616,10/18/2019,Y
2020,3888991682,CHRISTOPHER DUNN & ASSOCIATES LLC,1616 HIGHLAND AVENUE,,WILMETTE,IL,60091,UNITED STATES,312-953-0422,,06/17/2020,Y
2020,799459201,"JOE MOORE STRATEGIES, LLC",1200 W. SHERWIN AVE.,UNIT L-0,CHICAGO,IL,60626,UNITED STATES,7738485796,,06/19/2020,Y
2020,1784304838,ENVISION UNLIMITED,8 S. MICHIGAN AVENUE,SUITE 1700,CHICAGO,IL,60603,UNITED STATES,3125064804,,06/22/2020,Y
2020,3771747091,MAPLEBEAR INC. D/B/A INSTACART,"28 LIBERTY SHIP WAY, SUITE 2815",,SAUSALITO,CA,94965,UNITED STATES,4159032800,,06/22/2020,Y
2020,343809574,COY PUGH,5530 S SHORE DR,,CHICAGO,IL,60637,UNITED STATES,7736367844,,06/22/2020,Y
2020,2532071822,JOHN O'CONNELL,129 INDIAN WOOD LANE,,INDIAN HEAD PARK,IL,60525,UNITED STATES,708-267-3087,708-246-2247,,Y
2020,606156348,NEXT GENERATION STRATEGIES INC,4N752 WARE WOODS DRIVE,,SAINT CHARLES,IL,60175,UNITED STATES,3129727348,,06/25/2020,Y
2020,2112007776,CERTENT,1548 EUREKA ROAD,,ROSEVILLE,CA,95661,UNITED STATES,720-249-2181,,08/10/2020,Y
2021,4260631253,MORGAN STANLEY INVESTMENT MANAGEMENT INC.,522 FIFTH AVENUE,,NEW YORK,NY,10036,UNITED STATES,212761-4000,,06/29/2015,Y
2020,2498319453,VERIZON,205 N. MICHIGAN AVE.,,CHICAGO,IL,60601,UNITED STATES,3124055515,,10/31/2018,Y
2020,1806893566,ACCESS LIVING,115 W. CHICAGO AVENUE,ACCESS LIVING,CHICAGO,IL,60654,UNITED STATES,3126402191,,07/02/2020,Y
2020,60804596,SIERRA PUBLIC RELATIONS,10901 S AVENUE N,,CHICAGO,IL,60617,UNITED STATES,773-842-0420,,07/10/2020,Y
2020,1059549017,RAI SERVICES,PO BOX 2955,,WINSTON SALEM,NC,27102,UNITED STATES,3367413514,,07/14/2020,Y
2020,3906268924,"STERLING BAY, LLC AND ITS AFFILIATES",333 N. GREEN ST,SUITE 1100,CHICAGO,IL,60607,UNITED STATES,3122023665,,07/16/2020,Y
2020,2081310512,"MACROSTIE HISTORIC ADVISORS, LLC",53 W. JACKSON BLVD. SUITE 1142,,CHICAGO,ID,60604,UNITED STATES,3125502047,,01/17/2020,Y
2020,3866736098,QUALTRICS,333 W RIVER PARK DR.,,PROVO,UT,84604,UNITED STATES,801374-6682,,07/20/2020,Y
2017,3159620920,"SERAFIN & ASSOCIATES, INC.","409 W. HURON, SUITE 600",,CHICAGO,IL,60610,UNITED STATES,312-943-1955,312-943-8397,,Y
2018,1733040400,"JCDECAUX NORTH AMERICA, INC","3 PARK AVENUE, 33RD FLOOR",,NY,NY,10016,UNITED STATES,646-834-1327,,,Y
2013,3654969484,CREDIT SUISSE ASSET MANAGEMENT LLC,ONE MADISON AVE.,,NEW YORK,NY,10010,UNITED STATES,212-325-8656,212-322-2396,06/06/2012,Y
2016,1360201752,LOCAL 881 UNITED FOOD AND COMMERCIAL WORKERS,10400 WEST HIGGINS RD.,5TH FLR,ROSEMONT,IL,60018,UNITED STATES,847-294-5064,847-759-7106,03/21/2014,Y
2020,1427144969,GR CONSULTING,712 S 2ND STREET,,SPRINGFIELD,IL,62704,UNITED STATES,312469-0079,,07/20/2020,Y
2020,1608250958,SUDLER PROPERTY MANAGEMENT,"875 N MICHIGAN AVE,",UNIT 3980,CHICAGO,IL,60611,UNITED STATES,3127062320,,08/13/2020,Y
2021,539889386,MORGAN STANLEY & CO. LLC,1585 BROADWAY,,NEW YORK,NY,10036,UNITED STATES,212-761-4000,,03/24/2014,Y
2021,2713617740,MORGAN STANLEY & CO. LLC,1585 BROADWAY,,NEW YORK,NY,10036,UNITED STATES,212-761-4000,212-761-0450,10/21/2012,Y
2021,4276720287,MORGAN STANLEY INFRASTRUCTURE INC.,1585 BROADWAY,,NEW YORK,NY,10036,UNITED STATES,212761-4000,,05/18/2016,Y
2021,746903939,MARKOFF LAW LLC,"29 N. WACKER DRIVE, SUITE 1010",,CHICAGO,IL,60606,UNITED STATES,312-698-7300,,12/28/2018,Y
2020,4232009616,"REEF TECHNOLOGY, INC",253 PEACHTREE ST,SUITE 2600,ATLANTA,GA,60649,UNITED STATES,201-694-6027,,07/24/2020,Y
2020,1855805828,ASSOCIA CHICAGOLAND,50 E. COMMERCE DRIVE,SUITE 110,SCHAUMBURG,IL,60173,UNITED STATES,8478821672,,08/14/2020,Y
2020,2354058490,SINGER CONSULTING LLC,300 N. LASALLE STREET,SUITE 3900,CHICAGO,IL,60654,UNITED STATES,312-862-2142,312-862-2200,01/17/2018,Y
2020,2603505624,WORKIVA INC,2900 UNIVERSITY AVE,,AMES,IA,50010,UNITED STATES,888-275-3125,,11/05/2015,Y
2020,723449736,SCARABAEUS LLC CONSULTING,9009 S. WESTERN AVE.,,CHICAGO,IL,60643,UNITED STATES,773-629-6205,,08/25/2020,Y
2020,2144923481,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION,8700 W. BRYN MAWR AVE.,STE. 1200S,CHICAGO,IL,60631,UNITED STATES,847-297-7800,,08/27/2020,Y
2020,3314122666,CLEAR CHANNEL AIRPORTS,2325 EAST CAMELBACK ROAD,SUITE 400,PHOENIX,AZ,85016,UNITED STATES,602-381-5718,,08/31/2020,Y
2020,2715893692,"CLEAR CHANNEL OUTDOOR, LLC",2325 EAST CAMELBACK ROAD,SUITE 400,PHOENIX,AZ,85016,UNITED STATES,602-381-5718,,08/31/2020,Y
2020,2489420394,"REALTERM US, INC.",201 WEST STREET,,ANNAPOLIS,MD,21401,UNITED STATES,410-280-1100,,09/01/2020,Y
2020,703268111,"REYAHD KAZMI - KAZMI ADVISORS, LLC",916 S. BELL AVE.,,CHICAGO,IL,60612,UNITED STATES,7733775358,,09/01/2020,Y
2020,1710218143,"REALTERM US, INC",201 WEST STREET,SUITE 200,ANNAPOLIS,MD,21401,UNITED STATES,4102801100,4102800100,09/02/2020,Y
2020,2049958930,SKYWAY HARBOR PROPERTIES LLC,670 N CLARK,,CHICAGO,IL,60654,UNITED STATES,312-750-9262,,09/09/2020,Y
2020,2296172639,"CITIBANK, N.A.",388 GREENWICH STREET,22ND FLOOR,NEW YORK,NY,10013,UNITED STATES,813604-1793,,09/09/2020,Y
2020,3237246676,INFOR,500 W. MADISON ST.,SUITE 2100,CHICAGO,IL,60661,UNITED STATES,312-523-1077,,09/24/2020,Y
2020,896063727,SOUTHWEST AIRLINES CO.,"2702 LOVE FIELD DR, HDQ4GA",,DALLAS,TX,75235,UNITED STATES,202-263-6283,,09/29/2020,Y
2020,4228503910,"WESTFIELD, LLC",2049 CENTURY PARK EAST,41ST FL,LOS ANGELES,CA,90067,UNITED STATES,310-575-5963,,10/05/2020,Y
2020,2325356524,"THE GORDIAN GROUP, INC.","30 PATEWOOD DRIVE, BLDG 2, SUITE 350",,GREENVILLE,SC,29615,UNITED STATES,800-874-2291,,03/12/2015,Y
2020,151237573,CITY LAKE LAW,110 W HUBBARD,,CHICAGO,IL,60654,UNITED STATES,8152776037,,04/16/2019,Y
2020,2042032730,CHICAGO IMPACT DEVELOPMENT COMPANY,"67 E MADISON ST STE 1603A #774 CHICAGO, IL 60603",STE 1603A #774,CHICAGO,IL,60603,UNITED STATES,847-868-6320,,10/08/2020,Y
2020,3084285301,HUTCHINSON SHOCKEY ERLEY & CO.,41 S. HIGH STREET,7TH FLOOR,COLUMBUS,OH,43215,UNITED STATES,800-322-4600,,10/09/2020,Y
2020,95533220,VERIZON,205 N. MICHIGAN AVE.,7TH FLOOR,CHICAGO,IL,60609,UNITED STATES,3124055515,,11/01/2018,Y
2020,236692778,"JPMORGAN CHASE BANK, NA",383 MADISON AVENUE,,NEW YORK,NY,10017,UNITED STATES,312-732-6932,312-732-7005,02/13/2019,Y
2020,1633764393,HUNTINGTON SECURITIES INC.,"222 W. ADAMS ST., STE 1700",,CHICAGO,IL,60606,UNITED STATES,312-443-1563,,10/14/2020,Y
2020,350036188,THE NATIONAL ASSOCIATION OF PROMOTIONAL RETAILERS,2907 S WABASH,STE 201,CHICAGO,IL,60616,UNITED STATES,3126224507,,10/19/2020,Y
2020,3627940434,"HUNTINGTON SECURITIES, INC",222 W. ADAMS ST.,STE. 1700,CHICAGO,IL,60606,UNITED STATES,3124431500,3124437225,10/20/2020,Y
2020,3940239340,GOOGLE LLC,"C/O 28 LIBERTY SHIP WAY, SUITE 2815",,SAUSALITO,CA,94965,UNITED STATES,415903-2800,415610-7604,10/22/2020,Y
2020,2844107931,STRATEGIC HEALTHPLAN CONSULTING LLC,"427 BELLEVIEW AVE., SUITE 203",PO BOX 164,CRESTED BUTTE,CO,81224,UNITED STATES,970-349-7707,,10/29/2020,Y
2020,4128082727,PATRICIA SCUDIERO,3237 OAKWOOD DRIVE,,JOLIET,IL,60431,UNITED STATES,773-320-6062,,10/29/2020,Y
2020,386537745,"SIMPSON DATTILO, LLC",5559 S. ARCHER AVENUE,SUITE 3,CHICAGO,IL,60638,UNITED STATES,312416-1953,,10/29/2020,Y
2020,988217880,PET INDUSTRY JOINT ADVISORY COUNCIL,1615 DUKE STREET,SUITE 100,ALEXANDRIA,VA,22314,UNITED STATES,2024521525,,10/30/2020,Y
2020,345928772,"MORENO CONSULTING, LLC",1330 N LEAVITT ST,,CHICAGO,IL,60622,UNITED STATES,3129953131,,10/30/2020,Y
2020,2180998126,WELLS FARGO & COMPANY,90 S. 7TH ST.,FLOOR 16,MINNEAPOLIS,MN,55402,UNITED STATES,612-316-3857,,11/03/2020,Y
2020,4279658131,ERNST & YOUNG LLP,155 NORTH WACKER DRIVE,,CHICAGO,IL,60606,UNITED STATES,312-879-2000,,09/18/2013,Y
2020,685034421,LINNEA  MCHUGH,2530 NORTH ASHLAND,3N,CHICAGO,IL,60614,UNITED STATES,3123993085,,11/13/2020,Y
2020,1971209997,FINANCIAL RELATIONS INC.,135 SOUTH LASALLE,SUITE 4000,CHICAGO,IL,60603,UNITED STATES,312-607-6553,,11/13/2020,Y
2020,1572022702,GRUBHUB,111 W WASHINGTON STREET,,CHICAGO,IL,60602,UNITED STATES,8775851085,,11/16/2020,Y
2020,1971318145,MATTHEW MALONEY,9533 S CLIFTON PARK,,EVERGREEN PARK,IL,60805,UNITED STATES,7738180088,,11/16/2020,Y
2020,630974154,"LYFT, INC.",185 BERRY STREET,SUITE 5000,SAN FRANCISCO,CA,94107,UNITED STATES,415-903-2800,,11/17/2020,Y
2020,2363029254,HONEYWELL INTERNATIONAL INC.,1001 CONSTITUTION AVE. NW,SUITE 500 WEST,WASHINGTON,DC,20001,UNITED STATES,202-662-2634,,11/19/2020,Y
2020,2665177505,SAS INSTITUTE INC.,100 SAS CAMPUS DR.,"BUILDING T, OFFICE 2010",CARY,NC,27513,UNITED STATES,919-531-4760,,11/19/2020,Y
2021,1218265207,NORTHLEAF CAPITAL PARTNERS (CANADA) LTD,79 WELLINGTON ST. WEST,"6TH FLR, BOX 120","TORONTO, ON",IL,M5K 1N9,CANADA,416-477-6701,416-304-0195,03/09/2016,Y
2021,1094350397,"COMCAST CABLE COMMUNICATIONS MANAGEMENT, LLC",1701 JOHN F KENNEDY BLVD,,PHILADELPHIA,PA,19103,UNITED STATES,202-371-7559,,05/02/2017,Y
2021,680577657,"JCDECAUX NORTH AMERICA, INC.",350 5TH AVE.,73RD FLOOR,NEW YORK,NY,10118,UNITED STATES,6468341200,,01/11/2018,Y
2021,340960120,EMSO ASSET MANAGEMENT US LLC,680 FIFTH AVE.,SUITE 1802,NEW YORK,NY,10019,UNITED STATES,212-307-8903,,01/13/2016,Y
2021,3036253339,"NOVARTIS SERVICES, INC.","801 PENNSYLVANIA AVE. N.W., SUITE 700",,WASHINGTON,DC,20004,UNITED STATES,9082101962,,12/21/2020,Y
2014,1515486566,"GOLDMAN SACHS ASSET MANAGEMENT, L.P.",200 WEST STREET,,NEW YORK,NY,10282,UNITED STATES,212902-1000,,01/20/2013,Y
2013,1004094324,COLWELL GROUP LLC,574 BELLE MEADE FARM DR,,LOVELAND,OH,45140,UNITED STATES,513-683-9594,513-683-644,,Y
2012,12515062,THE PERMAN GROUP,1904 WEST NEWPORT AVE.,,CHICAGO,IL,60657,UNITED STATES,773-405-6312,,10/01/2012,Y
2014,1319266757,"J.P. MORGAN CHASE BANK, NA",10 S. DEARBORN,FLOOR 36,CHICAGO,IL,60603,UNITED STATES,312-732-6932,312-732-7005,01/17/2014,Y
2012,615399762,POLSKY & ASSOCIATES LTD.,205 N. MICHIGAN AVENUE 41ST FLOOR,,CHICAGO,IL,60601,UNITED STATES,312-540-0200,312-540-0207,,Y
2020,1122588340,ILLINOIS HOTEL & LODGING ASSOCIATION,27 E. MONROE,1200,CHICAGO,IL,60605,UNITED STATES,3123463135,,01/13/2020,Y
2012,3984091804,CHICAGOLAND CHAMBER OF COMMERCE,"200 E. RANDOLPH ST., STE. 2200",,CHICAGO,IL,60601,UNITED STATES,312-494-6736,312-861-0660,,Y
2014,3654969484,CREDIT SUISSE ASSET MANAGEMENT LLC,ONE MADISON AVE.,,NEW YORK,NY,10010,UNITED STATES,212-325-8656,212-322-2396,06/06/2012,Y
2020,1668777773,BMO HARRIS BANK N.A.,111 W. MONROE,,CHICAGO,IL,60603,UNITED STATES,630-548-7955,,12/18/2017,Y
2013,3984091804,CHICAGOLAND CHAMBER OF COMMERCE,"200 E. RANDOLPH ST., STE. 2200",,CHICAGO,IL,60601,UNITED STATES,312-494-6736,312-861-0660,,Y
2012,2571578229,TARGET CORP.,"1000 NICOLLET MALL, TPN-12K",,MINNEAPOLIS,MN,55403,UNITED STATES,612-761-1535,612-761-372,,Y
2018,3075003213,CONSTELLATION,1310 POINT STREET,,BALTIMORE,MD,21231,UNITED STATES,6107656920,,09/21/2018,Y
2014,615473792,GERARDO REYES,"1542 W. DIVERSEY PKWY, #1",,CHICAGO,IL,60614,UNITED STATES,312-924-9475,312-924-9496,,Y
2013,2156413839,U.S. BANCORP,800 NICOLLET MALL,BC-MN-H15F,MINNEAPOLIS,MN,55402,UNITED STATES,612-303-9082,,08/05/2013,Y
