ID,Label,Count of Contributions
24718,BRYAN MCDANIEL,1
18901,JOHN KOHLHEPP,2
4195,TIMOTHY HINCHMAN,8
16041,DENNIS PEDRELLI,3
25029,PATRICK GREEN,1
4084,RICHARD INGRAM,12
20166,LUCI ANDERSON,5
24403,ANDREW SZWAK,1
4318,THOMAS MANION,25
6781,WILLIE SMITH,1
14261,JOHN COAN,2
24083,COLLEEN DALEY,1
6161,PAUL COLGAN,4
3740,MICHAEL KASPER,83
18701,HEATHER WAY KITZES,5
5964,JEFFREY GLASS,38
23361,TOM BENEDETTO,2
4074,TERRY TEELE,32
4157,BRIDGET O'KEEFE,115
24811,MARGARET VAUGHN,2
7402,DEAN MARAGOS,8
24074,MICHAEL ZALEWSKI,2
14103,MALCOLM WEEMS,12
7422,KEVIN MENDOZA,5
18605,ANNA SIMPSON,3
20526,PAVOL REHUS,3
15601,WILLIAM GLUNZ,2
24482,ERIC ENGSTROM,2
24483,ANTHONY HRUSOVSKY,2
23701,JAMIE GRAVES,1
24262,REED EDWARDS,2
24102,MARTIN WOOD,2
24484,BRIAN BEZANIS,2
3962,CHRIS LEACH,82
4103,MARY GEORGE,24
9621,MICHAEL EZGUR,88
16002,RICHARD VELAZQUEZ,15
4257,THOMAS COFFEY,18
25050,GREGORY WHEELER,1
4189,SCOTT REMILLARD,3
16202,STACEY KODAK,2
24927,CHRISTOPHER JESSUP,1
24803,AMY BARRY,1
15501,DAVID GROSS,1
4312,TANYA TRICHE DAWOOD,5
4073,CATHERINE JANES,5
18782,JENNIFER WALLING,1
24918,JOSEPH JAKUBOWSKI,1
4070,CHARLES BERNARDINI,6
3862,SANDRA WIDERBORG,2
13621,ARTHUR WILHELMI,1
15261,FRANK BOSCO,1
3833,PAUL SHADLE,81
24321,DANIEL FAHNER,3
15081,LIZ BUTLER,89
4007,JOHN KELLY,71
17201,THOMAS RAINES,26
6221,LARS SKUGSTAD,4
3893,OLIVIA PANTOJA,12
3895,JAMES SULLIVAN,3
6203,JOHN FOSTER,4
23522,SALLY HOWE,1
24085,ANTHONY DRIVER,1
3826,THOM SERAFIN,5
24814,MICHAEL REEVER,1
24485,ANDREW HAYS,4
4246,JOSEPH GATTUSO,157
3890,KATHLEEN DUNCAN,89
6842,JOHN GEORGE,189
3831,MYLES BERMAN,12
4162,MARY MINAGHAN DBA MKM SERVICES,37
5881,STEPHEN FRIEDMAN,2
14282,FRANCIS ROOD,4
3752,MITCHELL CARREL,34
24748,RICHARD WEISS,2
24743,JOSHUA HARRIS,1
18481,DEAN MARKS,3
5721,GENE SCHULTER,18
3863,GEOFFREY DICKINSON,15
6202,JOHN KURNIK,4
3877,GYATA KIMMONS,25
24741,MARY ANDERSON,1
24901,JOSEPH ABRAMSON,2
9601,ROGER BICKEL,7
24106,HOWARD BLAIR,2
24911,JACK KIM,1
3744,TIMOTHY DART,55
4010,RICHARD KLAWITER,98
21841,WILL COUSINEAU,4
18742,ALEX SUGARMAN,6
23827,JESSICA SIMONS,2
21002,PATRICK COLLINS,2
4624,WILLIAM SMITH,19
18702,CRANE KENNEY,5
24261,JAMES SHERWOOD,1
24746,JULIAN GREEN,4
24163,THOMAS RICKETTS,4
10901,SAMANTHA COSTANZO,4
23424,MARGARET HOULIHAN SMITH,10
18602,KEATING CROWN,3
4260,MICHAEL LUFRANO,5
18601,ANDY GLOOR,3
23826,MATTHEW NUGEN,1
13241,MAZONNE JACKSON,3
4301,DANIEL LYNCH,5
4202,KATRIINA MCGUIRE,102
9743,MICHAEL ALEXANDER,27
20201,PATRICK WARTAN,27
11493,SEAN OSHEA,24
24871,EMILY FIORE,3
4072,JOHN BOROVICKA,31
4011,THEODORE NOVAK,35
4155,THOMAS MURPHY,29
5127,PAT DOERR,2
25003,JOAN ISAAC,1
19001,SARA BARNES,126
23481,DANIEL NORTH,1
4068,DONNA PUGH,74
25004,GABBY ROSAS,1
19002,NICK FTIKAS,123
4201,MICHAEL MINI,3
4298,JOHN LAWLOR,14
24707,KIMBERLY BARES,1
24884,JOSEPH MOORE,15
3912,TERRY GABINSKI,7
4082,THOMAS LIVINGSTON,2
24022,ANYA MALKOV,2
3754,THEODORE BRUNSVOLD,22
3735,MARK FARY,5
3753,LANGDON NEAL,214
20343,MICHAEL RUEMMLER,18
11485,MATTHEW QUINN,1
11241,JAMES GRIFFIN,12
13202,TYLER MANIC,99
4304,ANDREW SCOTT,35
24765,MARY EILEEN WELLS,1
5201,SAM TOIA,1
9082,JOSEPH PILEWSKI,13
23883,ASHLIE KUEHN,2
23861,MATTHEW GLAVIN,3
4348,WILLIAM BANKS,107
12361,ROBERT KELLMAN,5
4116,JEROME SCHAIN,26
25013,LEAH POPOFF,1
4067,JOHN FRITCHEY,17
24783,MAX RETTIG,1
23121,MAREN RONAN,1
25045,MATTHEW MALONEY,1
25048,KATIE WITMAN,1
25021,PATRICIA SCUDIERO,1
16801,YUHONG ZHANG,3
22001,ELIZABETH SANTIS,9
24764,WILLIAM KATT,1
25028,ALEXI MADON,1
6082,ELIZABETH KREGOR,3
24643,SELECCA BULGAR-MEDINA,2
24830,BRIAN BERNARDONI,2
3964,MARY KAY BONOMA,1
3960,MICHAEL SHAKMAN,2
4723,RON TABACZYNSKI,4
3985,PAUL ROSENFELD,27
9481,KATHERINE JAHNKE-DALE,74
24863,ALEXANDRA DAGG,1
6561,RICHARD TOTH,18
25008,KYLE MOONEY,2
20282,MEAGHAN O'CONNOR,19
8162,GERY CHICO,33
14641,AMY DEGNAN,29
17701,MICHAEL BROWN,13
24969,ALEX BRODSKY,1
18604,FREDERIC KROL,3
11701,MICHAEL SYNOWIECKI,46
6825,AMY KURSON,41
24910,CARLOS DEL VAL CURA,1
4239,KEVIN WOLFBERG,11
21101,MICHAEL HOULIHAN,10
4081,VICTOR REYES,49
25082,MATTHEW TOWSON,1
24381,KRISTOPHER ANDERSON,1
15721,AL RONAN,6
19861,XIMENA CASTRO,30
3989,WILLIAM GRIFFIN,10
3782,MARA GEORGES,70
3955,LEWIS POWELL,3
3824,DANIEL SHOMON,10
19381,JON LEACH,6
24773,RON BURKE,1
6104,LAWRENCE ADELSON,14
25023,ANITA FULTON,1
24967,JON ABELN,1
18421,MATTHEW DATTILO,7
13282,MADELEINE HILL,26
25025,JARVIS COLEY,1
24729,MELEAH GEERTSMA,1
24878,KYLE DEGIULIO,1
25024,NICOLE WRUCK,1
24171,ERIN MACKEY O'KEEFE,1
12861,TIMOTHY BARTON,4
25081,MATTHEW JOHANSON,1
24310,WILLIAM VELAZQUEZ,1
9041,PETER FROEHLICH,1
22781,CAROLINE SAMPONARO,1
22322,JOANNE MEULENDYKE,3
4173,PETER CASSEL,14
24924,THOMAS CUCULICH,1
24779,IYANA SIMBA,1
22141,MARQUIS HAWKINS,1
10921,WILLIAM O'DONAGHUE,17
8961,GLEN GRIMM,2
24966,GREGORY RUSSELL,1
23942,M GARRETT HOHIMER,1
20547,ASTRA HOLDER,1
18461,JOHN D'ALESSANDRO,2
24909,LAKEITHA ANDERSON,1
3845,ROLANDO ACOSTA,134
12521,BENJAMIN JACKSON,2
15423,OMAR DAGHESTANI,3
4203,ADRIENNE ALEXANDER,2
11381,KATHY BROWN,6
4193,JOHN DUNN,54
16541,LEAARON FOLEY,3
24503,TANYA ROSIN,1
21802,MICHIO MURAKISHI,1
4065,DANIEL FINKEL,2
24763,LYNNETTE CRANDALL,2
20841,LATASHA THOMAS,5
4055,ANN MORONEY,25
25052,JOSEPH DUNN,1
24720,ALAN SULLIVAN,2
24073,SAMANTHA STINSON,4
24968,JOHN MOYER,1
14081,MICHAEL NOONAN,30
4052,CHRISTOPHER DUNN,14
6323,JOHN KAMIS,13
15424,JEREMY NEWTSON,3
4278,HOMERO TRISTAN,29
15425,RUSHDA MUSTAFA,3
3996,DONOVAN PEPPER,5
5967,JONATHAN CASIANO,5
23941,ALEX MEIXNER,1
18561,SYLVIA MICHAS,35
21261,ROBERT GREENLEE,3
18181,JOHN DALEY,32
24563,EVE RODRIGUEZ MONTOYA,2
20641,PATRICK BRADY,2
24644,KATHERINE LATHAM,1
3905,JOHN NICOLAY,3
24778,COLLEEN SMITH,1
3991,BETH DORIA,5
22901,GHIAN FOREMAN,1
4094,DANIELLE CASSEL,53
24904,AMBER SMOCK,1
24698,JAMES MOORE,1
24609,ROBERT CHARLES,1
24742,ROBERT GALLO,1
24679,MOISES MORENO,1
18883,PERICLES ABBASI,8
14921,PATRICK CAREY,43
14481,DJAVAN CONWAY,7
24887,COY PUGH,1
25046,AMY HEALY,1
24692,CATHLEEN O'BRIEN,1
20581,ANTHONY REINHART,1
11941,JAMES SAAKVITNE,1
16542,ANTHONY BRUNO,2
24861,WENDY ABRAMS,2
23828,SHELLY BURKE,1
23501,ROBERT JOHNSON,1
24784,KATIE ROONEY,1
18703,CARL RICE,4
21844,WILLIAM DALEY,1
9383,ROB KARR,4
24780,MATTHEW SWENTKOFSKE,1
3825,MIGUEL SANTIAGO,8
24734,ASHLEY JENKINS,1
6163,JUDY MARTINEZ-FAYE,4
24323,MAYA GOLLIDAY,1
4013,ELIZABETH COOLIDGE,2
24766,ADRIENNE JONES,1
23943,DAVID HOLLY,2
23621,JONATHAN HART,2
24302,KATE BARTHELME,1
19481,BRUCE MILLIGAN,1
16081,ALLISON SCHRAUB,2
24423,NICHOLAS BRUNICK,1
9382,TALAR BERBERIAN,29
13701,LAUREN MACK,1
4180,ROBERT GAMRATH,11
13781,ZACH KOUTSKY,2
12241,MARK LUKASICK,3
24313,ASHLEY ALVAREZ,1
24785,MARIA YAO,1
18281,AMY DE VALLET,2
4214,MONICA MUELLER,1
24103,YVETTE PITTMAN,1
17901,MATTHEW SUMMY,2
10801,RICHARD KADANSKY,2
23902,KELLEY GOSSETT,1
22261,JONATHAN BUCKNER,1
4219,MARK LENZ,25
23141,ROBERT ECKARDT,1
24164,YA-TING LIU,1
18282,MURRAY MCQUEEN,2
20801,KARL CAMILLUCCI,3
3899,KEVIN CONLON,13
24699,MARK JAMIL,1
24961,DONNE TROTTER,1
13961,MARIA AROSTEGUY,2
13381,MARK SOMERS,2
11721,MARGARET ANDERSON,5
3896,MARTHA LINSLEY,3
24314,WENCHI YU,1
24840,GARR PUNNETT,1
19902,JORGE GALINDEZ,1
18362,MATTHEW WARREN,1
16021,ZACK KARTAK,3
22204,RAY PALACIOS,1
22961,PATRICK HANLON,5
19904,JORDAN AUSTIN,1
16662,MICHAEL MINERVA,2
24865,WILLIAM BURNS,1
24674,MIMI RODMAN,1
24730,GINA RAMIREZ,1
22203,JIM LAZARSKI,1
22181,JOHN WEBER,1
24721,STEVEN STRYKER,1
4064,WILLIAM FILAN,22
24727,STORM SAPONARO,1
4019,ROBERT MARKIN,7
24747,JUAN SALAZAR,1
4341,THOMAS DENES,4
24722,MAYRA VAZQUEZ,1
8201,DAVID SCHROCK,1
3743,MARCUS NUNES,23
24842,DARREN COLLIER,1
4302,WILLIAM MACK,3
24786,JODI RADKE,1
24642,ERIK CASTELAN,1
24963,STEPHEN SCHNEIDER,1
3917,JOHN MOORE,2
20208,OSCAR BEDOLLA,2
23521,ALEXANDER LAIOS,2
24421,LORI CADDEN,2
16643,SAMUEL FRANKLIN,2
4412,DAVID SIEGEL,2
4150,JAN STARR,11
24627,HADJI MALOUMIAN,1
21845,STEPHEN FORTINO,1
7481,CAROLYN SETTANNI,2
24282,DARA KHOSROWSHAHI,1
24284,JOSH GOLD,1
19221,DAN SACHS,2
24104,PAUL BREDAEL,1
24684,ADAM BALLARD,2
23381,WITNESS YI,2
3789,NEIL PRITZ,3
8081,OLGA GUTIERREZ,1
3799,NATHAN LOPP,1
24562,KAITLIN GAUTHIER,1
19981,ROBERT DRISCOLL,1
24731,MARK NABONG,1
24864,BRENT KENT,1
24866,DAVID LONDON,1
24881,KYLE HILLMAN,1
17801,ESMAEL ANSARI,1
24063,ALEXANDRA SIMS,1
16601,KEVIN MALLOY,9
4371,JESSICA SCHRAMM,13
4143,SANDRA KELLMAN,1
5401,DENNIS PEDRELLI,5
6321,DONALD STORINO,12
16921,STEPHEN JOHNSON,1
3997,DAVID NAREFSKY,1
4266,SAMANTHA COSTANZO,1
3930,DAVID DRING,62
24172,MORGAN SOKOL,1
4218,PAT DOERR,1
4178,KERRY REIDY,2
3739,COURTNEY NOTTAGE,62
7441,JAMES HOULIHAN,5
3925,JAMES BANKS,288
15161,MONICA-KAYE GAMBLE,1
21701,MIKE CUNNINGHAM,2
4163,BRIAN BERNARDONI,4
4077,FRANK CORTESE,18
15221,FRANK JULIAN,1
14741,LATASHA THOMAS,6
4228,NEAL ATTERMANN,5
4078,BRIAN HYNES,4
4255,JOSEPH PILEWSKI,2
8421,SUE MOSES,2
5361,JAY BEASLEY,4
9161,JEFF SCHOEPKE,1
11781,SCOTT GOLDSTEIN,2
14301,MICHAEL DEBONVILLE,2
3852,ROBERT GOLDMAN,9
4029,ELLIOT MCCOY,1
17602,DECLAN MCMANUS,1
6621,CATHERINE O'MALLEY,2
13801,JOHN BLANCHARD,1
4096,LAWRENCE PUSATERI,8
13702,JACOB RINGER,18
4236,MICHAEL BROWN,20
18603,ERIN CABONARGI,2
4238,PATRICK BRANKIN,10
4330,MARINA FAZ-HUPPERT,2
6401,DEAN MARAGOS,1
4120,LESLEY MAGNABOSCO,3
21803,GARY SCHENKEL,1
5301,GINA MILLER,1
12242,MICHAEL NICHOLS,3
17004,THOMAS ODONNELL,2
5302,DARRYL DENHAM,2
3864,SYLVIA MICHAS,40
4016,ELIZABETH FRIEDGUT,13
16561,PRASHANTHI RAMAN,1
23601,TIMOTHY EHLERT,1
19183,KIM CARR,1
3946,LISA DUARTE,13
3767,JESSE DODSON,15
3763,ANDREW GOTTSCHALK,2
4242,SAMUEL PANAYOTOVICH,5
6222,DREW KATZ,2
4285,PATRICK HANLON,2
18781,BETHANY WANLESS,2
20362,LISA DUARTE,15
15641,TANYA ROSIN,2
9961,LIBERTY ZIEGAHN,2
9081,G. A. FINCH,11
3958,STEPHEN FORTINO,3
6522,THOMAS SUFFREDIN,3
6961,SARAH CALDER,2
4303,JEFFREY OWEN,13
20533,BRETT HART,1
21241,JAMES HOULIHAN,2
22762,JEFFREY MCALEER,1
3756,JEFFREY DIXON,6
11281,RENEE GIBSON,1
11465,MICHAEL MENELLI,1
12561,DAVID ARDAYFIO,1
22561,ARNE DUNCAN,1
4048,ANDREW PETERS,1
7423,JUSTIN ALBERT,4
22904,GEORGE UNZUETA,1
7202,TOM MCDONALD,1
12301,LINDSEY GAYLES,3
3882,FRANK OLIVO,3
4200,GERALD ROPER,1
8682,MORRIS REID,1
3809,MICHAEL DILORENZO,28
8043,WILLIAM DALEY,2
20223,LESLIE DAVIS,2
4313,BETSY SALES,3
3931,MICHAEL LAUBE,24
11942,MATTHEW GOMEZ-MESQUITA,21
5825,JONATHAN PERMAN,2
4823,KATHLEEN BROWN,2
4683,LAURIE JONES,3
4825,JEFFREY SCRUGGS,3
3780,COURTNEY SHEA,3
6021,ALEXANDER ACEVEDO,2
4076,WILLIAM DICKETT,1
16681,JOHN SIMON,1
3940,ERIKA KRUSE,4
4288,SHEEBA MARTIN,9
5965,VICTOR CHANG,1
22221,LUIS ANDRADE,1
4319,LAWRENCE SUFFREDIN,4
4130,FRANK HARRISON,1
20206,GUY CHIPPARONI,2
3986,RICHARD WENDY,4
15661,LISSA DRUSS,5
4177,STEPHEN FRIEDMAN,8
4122,JOHN CARPENTER,2
3995,DAVID REIFMAN,18
4353,SCOTT BURHHAM,1
20167,MICHAEL MCINTYRE,1
4224,BARBARA ROBERTS,3
4152,PATRICIA HOLDEN,2
3926,ROBERT MOLARO,5
5282,RICHARD GUIDICE,2
4267,JEFFERY PALO,10
20566,COLLIN TEAGUE,2
4826,FREDA WANG,1
20226,LISA SCHRADER,2
3972,ANNA KIMSEY,6
8301,JAMES OAKLEY,1
5322,SCOTT HEYMAN,5
5403,KEVIN WRENN,2
12901,HOLLY COOPER,3
4226,SANFORD STEIN,3
3779,MICHAEL HOULIHAN,9
12321,JENELLE ALEXANDER,3
4277,THOMAS O'NEILL,3
20345,BOB VEZINA,1
7461,MARTHA BAILEY,9
17881,VINCENT VALENTINE,1
6850,STEVEN HOLLER,2
5283,JACK GUTHMAN,12
3827,MARGARET JARES,7
3746,BRETT PADGETT,2
3793,JOHN THEISEN,3
4140,BRIAN DALY,5
3822,RICHARD MELL,1
3992,VIRGINIA PACE,8
20042,ROBERT GREENEBAUM,7
20564,MAX POMERANC,1
3919,GREGG GRAINES,5
4095,WAYNE MAGDZIARZ,1
9762,R DELACY PETERS,1
9901,EDWARD ACEVEDO,4
3821,SARAH SHEEHAN,9
15701,DRUE DUNCAN,1
4111,CHRISTOPHER COLWELL,1
4027,JOHN CULLERTON,2
3792,O. KATE TRAGESSER,6
4253,CHARLES TURLEY,2
4075,GARY LAPAILLE,4
17541,JEANNETTE RODRIGUEZ,2
10262,EDWARD MARCIN,1
7001,KEVIN SPIEGEL,1
12481,JAIME ANDRADE,4
4247,JOHN MCGUIRE,2
20164,WILLIAM BOEHM,2
4061,ANDREJS BUNKSE,1
4209,KEVIN O'HARA,5
16181,JEREMY FLYNN,1
9602,GUILLERMO MARROQUIN,1
21661,MIKE FOURCHER,1
14941,CHAD HOOSIER,2
12981,THERESA MINTLE,1
3788,JEAN-FRANCOIS DECAUX,3
4115,ELIZABETH LIVELY,1
11421,KRISTOPHER ANDERSON,4
10222,MARILYN BUSH,2
4249,PHILIP ROONEY,3
17005,RAYMOND TATUM,3
3814,MICHAEL GLASCOTT,2
6342,PAUL BENNETT,4
3943,EDWARD FELDMAN,2
3811,VICTOR ROBERSON,4
24311,ALFONSO CORNISH,1
5281,MICHAEL GINTER,4
8361,RICHARD MELL,10
4196,ELVIN CHARITY,8
3853,MARGARET VAUGHN,1
4212,SUSAN JUN,3
10501,ELISE HOUREN,1
9281,MARTY SMALL,2
14563,JAMES WILMOTT,1
14184,ANDREW KIRBY,1
14541,LOBBYIST TEST,1
7641,STEPHEN KELLY,1
5561,JOSEPH RODDY,1
3806,JOHN STEVENS,1
3832,JANE ANDERSON,4
3813,ROBERT MANCILLA,5
3798,CHRISTOPHER STONE,1
4099,THOMAS HYNES,1
21961,ADAM KAUFFMAN,1
4243,MICHAEL BRODERICK,2
23926,BLAKE HILLEMEYER,2
6702,MARGARET MARYSTONE,1
3835,MARK HUDDLE,1
9341,TOM SAFLEY,1
3913,JACLENE ROBINSON-IVY,1
3881,LEE ROBERTSON,13
18741,THOMAS RICKETTS,4
15881,KAREN WEISS,1
9482,RONALD MARMER,3
15121,GAVIN MOLLOY,2
14001,MARCO MCCOTTRY,2
14942,MATTHEW SANCHEZ,4
6227,BLAKE CUSTER,2
4245,DEBORAH FAKTOR,4
3892,EDWARD SHENOO,1
16042,MIKE GINTER,3
4361,MICHAEL WARD,5
4182,JAMES RACHLIN,1
3908,PABLO BREZMAN,4
4168,JOHN CORRIGAN,10
5481,ANITA MAURO,9
14682,MICHAEL DALEY,1
4031,JEFFREY CRABTREE,2
4005,MARGARET HOULIHAN,4
20502,SUSAN ROBERTS,1
3759,DEMETRIUS CARNEY,2
4276,MICHAEL NOONAN,4
3808,JACQUELINE HAIRSTON,2
8341,MICHAEL BURNEY,4
3959,B. JOHN BISIO,2
4282,JUDITH ROETTIG,2
20083,DOMINIC LOVERDE,4
18321,LOWELL MCADAM,1
4133,MARY PARTHE,3
19863,NICHOLETTE CAMERON,1
9403,DIANE VONDERHEIDE,1
3858,MICHAEL REED,1
3950,DAN ROMITO,1
13664,LIBERTY ZIEGAHN,2
9781,MATTHEW LEE,1
23930,SCOTT TOLBERT,2
13261,BRITTANY PETERSON,1
6848,PAUL CHATALAS,2
12581,MARC DIETRICH,1
3939,ELIZABETH BRUNSVOLD,2
4457,STEVEN BAUER,1
8161,WILLIAM SINGER,4
5321,RICHARD SILVERMAN,2
5862,JEAN CHIDLEY,5
7003,KEN DUNKIN,3
12202,KRIS WEAVER,1
6524,ALLEN JOHNSON,3
6181,YAFAWN SMITH,1
4166,PAUL NEWMAN,2
4137,COURTNEY KNIGHT,2
17761,MICHAEL MULLEN,1
4339,AMY BRENNAN,4
18884,JULIE SMITH,1
4357,SANDOR WILLIAMS,1
9162,MIKE ESTADT,1
3768,LUIS DIAZ-PEREZ,1
11524,YEHIEL KALISH,1
8181,KATE TRAGESSER,10
12061,MYER BLANK,4
17603,THOMAS CANFIELD,1
4154,DENNIS O'SULLIVAN,1
3766,JOSEPH CINI,3
3942,JEWELL WALTON,7
20565,MATTHEW ZIMMERMAN,1
4297,DAMON STEWART,1
20721,ANTHONY LICATA,3
11961,EDWARD EBERSPACHER,1
6843,TIM MITCHELL,3
9083,STUART HANDLER,1
4059,DAVID HILL,1
3758,STRATFORD SHIELDS,2
13301,CLAUDIA RODRIGUEZ,2
3891,PETER HALPIN,1
4050,GERARDO REYES,1
4227,WILLIAM HOOD,1
5901,PATRICK HUELS,2
14186,JOSEPH SOMMER,1
8761,COURTNEY SHEA,5
6403,BILL MCMANUS,2
19382,CRISTINA NUTZMAN,1
23925,EDWARD MCKIM,2
4086,KIMBERLY FEENEY,2
4306,SUSAN SIKES,1
20822,DONALD WILLIAMS,3
4268,ROBERT KUNZE,1
3948,KRISTINA DALMAN,2
4648,THOMAS REID MACKIN,1
3947,RONALD REDD,1
14901,MATTHEW ZIMMERMAN,1
9241,IRA SMELKINSON,2
3834,DANIEL SPREHE,2
4981,CRAIG GERTZ,2
3888,AMY GEMPELER,3
16761,GILLETT SALINAS,1
21461,DAVID ROSE,1
9541,BROOKE FALLON,1
3938,JOHN GUST,3
4360,LEWIS MILLER,4
4204,MICHAEL MCCLAIN,2
3871,CARLOS PINEIRO,3
17301,WILLIAM BURNS,2
3976,CAROLE BROWN,2
4030,WAYNE OSOBA,7
20303,ROBERT DURKIN,1
17181,KATRINA BALOG,1
20209,PETER NEWELL,1
19881,ASHLIE VAN METER,2
3804,DEREK CHAUVETTE,2
4106,BINITA DESAI,1
4036,SCOTT VERCH,2
4647,RONNIE CARDWELL,2
18861,ABDUL KHAN,2
14441,JULIA ELLIS,4
10561,BAIRD ALLIS,1
20741,DANIELLA LANDAU,1
16461,BRIAN LEPENSKE,2
3975,CABRAY HAINES,2
3764,JENNIFER CLARK,1
24224,ADAM PETER,1
9464,MATTHEW COUCH,3
13041,KEVIN MORRIS,1
13141,DAVID MEEK,2
7221,ALIA HORWICK,2
4041,MAGGIE SANS,1
4087,EDWARD WALLACE,1
4108,GREGORY HUMMEL,2
16642,MELISSA SCHAKOWSKY,2
4681,VI DALEY,1
4174,ALLISON PINK,1
21343,EDWARD SKYLER,1
4338,AMY KURSON,7
11661,MICHAEL REEVER,1
6523,JOSH MOSKOWITZ,2
16502,ELGIE SIMS,2
22802,TODD RUSCHE,2
9441,JASON LUNDERMAN,1
5823,MAURICE CAMPBELL,1
3929,MICHAEL HENRY,2
12601,AMY WAGGONER,1
4320,LARRY SCHAEDEL,1
4324,PATRICK HUELS,2
13361,MICHAEL ALLEN,1
6741,JODY WEIS,1
19841,ROBERT DELUCIA,2
4272,CONSTANCE ZAIO,4
7421,MICHAEL MOYNIHAN,1
4001,BERNARD PARISOT,7
6703,BRENDAN SHILLER,3
4034,PETER SILVESTRI,1
8681,KATHERINE LEWIS,1
5107,MARLOW COLVIN,4
5261,KARL MARSCHEL,3
14042,TRACEY HESTER,4
7043,STEPHEN PATTERSON,1
24141,LAURIE GLENN,1
3961,CHRISTOPHER JOHNSON,2
23161,DAN KATZ,1
22021,LAURA HARTIGAN,1
4317,BRUCE BAKER,2
12621,ANDREW HOCHBERG,1
4158,ERIC ROCKHOLD,1
20143,ABIGAIL STODDARD,1
17601,GARETH LIFTON,1
9842,DANIEL O'CONNELL,1
3741,JEFFREY GLASS,5
5105,JEFFREY WARNER,4
11001,LAUREN HEINSOHN,1
3951,PAUL KOLPAK,14
3791,STEPHEN WOOD,2
4131,JAMES HOOKE,1
7541,ANDRIA WINTERS,2
11901,DONALD ZOUFAL,1
4315,TERRY HILLARD,2
4362,FERNANDO GRILLO,4
7201,NICOLE JEFFERSON,1
23927,CHRIS MOORE,1
19801,ANDREW WILSON,1
4000,RICHARD BOYKIN,3
24441,DERRICK JAMES,1
6562,ADAM PENKHUS,2
22908,MIKE SIMMONS,1
16941,JEAN-LUC DECAUX,2
10341,RACHEL SHERMAN,3
3970,SEAN MCGOWAN,2
19821,BENJAMIN HERBST,1
19901,TOM PESKE,1
18361,ERIC PREZANT,2
7381,ALLEN SHUTT,4
21801,NICHOLAS PROBST,2
22124,ELIZABETH PINKHAM,1
16581,M. ROSE KELLY,1
15901,VINCENT WILLIAMS,1
22361,MARC BENIOFF,1
8821,JOSEPH CHRISTOFANELLI,2
4083,WILLIAM LUKING,2
7841,MEGH DESAI,1
3904,ANGELITA PEREZ,1
20101,GEOFFREY WILSON,1
4092,THOMAS DUFFY,2
3802,JAMES TERMAN,1
21301,SUE LEE,1
6701,THOMAS MAHONEY,1
11496,JAMES RILEY,1
4351,RYAN MCLAUGHLIN,1
16022,ERIC ROCKHOLD,2
5362,KIM WEAVER,1
4294,MARCIA STEMPIEN,1
20141,BREANNA SCHAFER,1
3854,K. NATHANIEL PAXSON,2
4336,RALPH HUGHES,3
14961,LISA MCCABE,1
9661,BRAD WOLLMER,1
17063,CHARLOTTE TEKLITZ,1
9422,PATRICK BRETT,1
19342,CHRISTINA LEE,1
4344,DALE LAGERHOLM,2
21221,NEIL MCMONAGLE,1
4541,DAVID WIEGERS,2
7501,MARIO TRETO,2
3869,MONTEL GAYLES,2
